StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,free_text1,free_text2,access1,access2,cog_effort1,cog_effort2,influence1,influence2,gut1,gut2,careful1,careful2,awareness1,awareness2,intention1,intention2,controllability1,controllability2,efficiency1,efficiency2,speed1,speed2,race,race_free,gender,age,education,Q31,Q35,Q32,Q36,Q33,MTurkCode,workerId,PROLIFIC_PID,condition1,c_text1,condition2,c_text2,intentiontext1,intentiontext2,FL_11_DO,FL_27_DO
2020-09-02 16:38:41,2020-09-02 16:40:26,0,108.244.75.35,100,105,1,2020-09-02 16:40:27,R_2zJ6d5fGpcfYYkD,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,1,uuh,ugijk,7,6,7,4,7,2,1,2,2,1,7,6,3,5,4,3,7,7,1,2,4,uhjn,1,56,2,5,6,5,6,6,1508,,5f501b08f7598f18a49c9c5a,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Access|Controllability|Speed|Cognitiveeffort|Efficiency|Gutreaction|intentionality|outsideinfluence|FreeText|carefulconsideration|awareness
2020-09-02 17:23:02,2020-09-02 17:27:23,0,173.52.156.244,100,260,1,2020-09-02 17:27:23,R_XSSUaLtY6JzYwYV,,,,,40.7259979248046875,-73.84799957275390625,anonymous,EN,1,"How clever/funny the post is, as well as if I know the person who posted it.",If they are close enough for me to actually add them as a friend.,2,2,4,6,3,6,1,1,2,1,3,3,6,6,4,3,6,4,1.5,5,1,Im actually Turkish but they don't seem to have a option for it lol,1,25,5,2,2,2,2,5,1743,,5f4fed1e7fc3a51272b51312,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,outsideinfluence|awareness|Controllability|Cognitiveeffort|intentionality|Speed|Gutreaction|Access|carefulconsideration|Efficiency|FreeText
2020-09-02 17:30:17,2020-09-02 17:34:01,0,24.127.194.222,100,224,1,2020-09-02 17:34:02,R_Tve6v8kpCYXIAgN,,,,,42.4593048095703125,-83.220703125,anonymous,EN,1,"I think about the last time I saw them, and if I will ever see them again","I think about whether it's someone I like and interact with, and whether the post is relevant to my interests",5,5,5,5,5,5,1,1,1,2,2,2,6,6,1,1,6,6,4,5,1,Caucasian,1,27,5,2,5,2,5,1,5163,,5e63f502ff4913000ce60513,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Controllability|Cognitiveeffort|intentionality|FreeText|Gutreaction|Efficiency|awareness|outsideinfluence|carefulconsideration|Access|Speed
2020-09-02 17:21:58,2020-09-02 17:35:25,0,172.58.46.148,100,806,1,2020-09-02 17:35:25,R_rcqxhzxFW217XAR,,,,,47.5579071044921875,-122.163299560546875,anonymous,EN,1,"Do I actually know them? Am I related to them? If I am related to them, or they know someone I'm related to, the answer is no.","Do I like it? If I like it, I like it. If I don't like it, I don't like it. If I have opinions on it, but don't like it, I share it with commentary.",1,1,1,1,7,4,1,1,1,2,1,1,7,7,1,1,7,7,0.1,0,1,"I'm white. I have an unbelievably mixed ethnicity, mostly hailing from Ireland and Scotland, with a big smack of French and German. But every freckle is a different flavour of white. When answering these questions, what first comes to mind is; Am I looking for white, or caucasian?",3,28,3,6,6,5,6,6,7737,,5da16f15f205a8001766a638,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,intentionality|Access|FreeText|awareness|Cognitiveeffort|Speed|Controllability|carefulconsideration|outsideinfluence|Gutreaction|Efficiency
2020-09-02 17:34:28,2020-09-02 17:42:05,0,94.63.48.120,100,456,1,2020-09-02 17:42:05,R_z3f21Qx5vGCbMM9,,,,,38.716705322265625,-9.13330078125,anonymous,EN,1,I dont think too much but at the same time i think how people will react to my post.,I dont think too much I just search the person and if someone i know knows that person I accept it,1,2,2,3,3,4,1,2,2,1,3,3,5,4,1,1,2,5,2,10,1,i think taht my race is equal to the other ones but i think my race has more privileges ,1,19,2,3,3,4,4,3,3930,,5ebc098f05f39c0486a36df4,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,intentionality|Efficiency|Controllability|Cognitiveeffort|Access|FreeText|outsideinfluence|Gutreaction|carefulconsideration|awareness|Speed
2020-09-02 17:30:10,2020-09-02 17:46:00,0,75.190.2.149,100,950,1,2020-09-02 17:46:00,R_3KIXLY6ViJ94pi6,,,,,35.231597900390625,-80.84279632568359375,anonymous,EN,1,"How well I know the person, if they will remember who I am, if I am interested in being friends with them on facebook. ",If the post is about/related to me or something I'm interested in or support. ,2,3,5,3,6,6,2,2,1,2,2,2,6,5,2,2,2,5,40,30,1,I would describe my race and ethnicity as the majority in my country and local area. When this question is asked it always makes me wonder how much variation there is between the different races and ethnicities in relation to that form or survey.,2,23,5,2,2,3,3,2,8180,,5f500fc047e0ed17a61d0a5f,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,outsideinfluence|awareness|Gutreaction|Controllability|carefulconsideration|intentionality|Speed|Efficiency|FreeText|Cognitiveeffort|Access
2020-09-02 17:41:30,2020-09-02 17:46:59,0,68.108.187.5,100,328,1,2020-09-02 17:46:59,R_UT725o5zvWH75ER,,,,,35.9853973388671875,-115.11930084228515625,anonymous,EN,1,social and professional connections. is it useful or networking?,How does it make me feel? Has it sparked a reaction? ,1,1,4,5,7,2,1,1,1,2,3,2,6,3,1,4,5,5,3,2,1,"White. 
I am so much more then the color of my skin. My family came from Europe and stayed alive during the Holocaust.",2,27,5,3,3,2,3,2,6850,,5e7aa9c91a07dd0a077f5ff3,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Access|Cognitiveeffort|Controllability|Efficiency|carefulconsideration|outsideinfluence|intentionality|awareness|Gutreaction|FreeText|Speed
2020-09-02 17:41:23,2020-09-02 17:47:36,0,107.143.94.29,100,373,1,2020-09-02 17:47:37,R_11YD3BvxbeqQlHL,,,,,25.761199951171875,-80.31369781494140625,anonymous,EN,1,If I find the information very valuable or funny I will like it. ,I only add people that I am actually friends with in real life or that I would like to reconnect with. ,1,4,4,6,3,2,1,2,1,1,1,1,5,5,2,2,3,2,1,180,6,I consider myself Hispanic ,2,34,5,2,2,2,3,1,4512,,5f354f1a1b8bd04dc3dea197,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,FreeText|Controllability|Access|Efficiency|Gutreaction|intentionality|Cognitiveeffort|Speed|awareness|carefulconsideration|outsideinfluence
2020-09-02 17:46:15,2020-09-02 17:49:17,0,66.68.36.153,100,181,1,2020-09-02 17:49:17,R_wMCNijrub1EroQN,,,,,30.3773040771484375,-97.70999908447265625,anonymous,EN,1,I see if I actually know that person and the amount of mutual friends,I will usually like it if I agree with the post topic,5,6,2,2,7,7,1,1,2,2,2,2,7,7,1,1,6,6,2,0.5,2,I am black/african american,2,25,5,2,2,2,3,1,5565,,5f5012f6f4ec8e17ef91c6ed,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Gutreaction|Access|Efficiency|awareness|outsideinfluence|Controllability|intentionality|FreeText|Cognitiveeffort|carefulconsideration|Speed
2020-09-02 17:36:57,2020-09-02 17:49:27,0,74.73.176.17,100,749,1,2020-09-02 17:49:27,R_2uOHM8ECx0aHdDS,,,,,40.67999267578125,-73.77500152587890625,anonymous,EN,1,I wonder if I could trust the person to expose them to private elements of my life.,If the content is something I won't be embarrassed of.,2,2,7,7,2,2,2,2,1,1,1,1,7,1,1,1,1,1,200,200,6,Hispanic,2,32,5,4,4,5,5,4,5541,,5c6f9453cbd1430001a04463,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,FreeText|Gutreaction|Speed|Controllability|outsideinfluence|Access|intentionality|carefulconsideration|awareness|Cognitiveeffort|Efficiency
