participant_id,order,familiarity (1-7),mutual_friends,race_RA_1,race_RA_2,gender,Notes,,manual_diag
564999999,1,7,11,White,,Male,,,1
564999999,2,5,14,Asian,,Male,,,1
564999999,3,1,7,Asian,,Female,,,1
564999999,4,1,10,Asian,,Male,,,1
564999999,5,7,4,Asian,,Male,,,1
564999999,6,1,4,White,,Female,,,1
564999999,7,3,2,White,,Male,,,1
564999999,8,1,5,Asian,,Male,,,1
564999999,9,1,2,Asian,,Male,,,1
564999999,10,5,5,White,Asian,Male,,,1
564999999,11,4,25,White,,Female,,,1
564999999,12,5,10,Asian,,Female,,,1
564999999,13,4,8,White,,Male,,,1
564999999,14,2,21,Asian,,Male,,,1
564999999,15,3,15,White,,Male,,,1
564999999,16,1,5,White,,Male,,,1
564999999,17,1,6,Asian,,Male,,,1
564999999,18,1,7,Asian,,Female,,,1
564999999,19,4,15,Asian,,Female,,,1
564999999,20,7,3,Asian,,Male,,,1
564999999,21,1,11,Asian,,Female,,,1
564999999,22,5,4,Asian,,Male,,,1
564999999,23,1,7,Asian,,Female,,,1
564999999,24,2,5,White,Hispanic,Female,,,1
564999999,25,4,14,White,,Female,,,1
564999999,26,7,15,White,,Male,,,1
564999999,27,7,14,White,,Female,,,1
564999999,28,7,24,White,,Male,,,1
564999999,29,7,22,Asian,,Male,,,1
564999999,30,5,11,Asian,,Male,,,1
564999999,31,2,1,Black or African American,White,Female,,,1
564999999,32,2,0,White,,Female,,,1
564999999,33,1,3,Hispanic,,Male,,,1
564999999,34,1,8,White,,Male,,,1
564999999,35,7,12,Asian,,Female,,,1
564999999,36,1,8,White,,Male,,,1
564999999,37,1,3,Asian,,Female,,,1
564999999,38,1,13,Asian,,Female,,,1
564999999,39,1,7,Asian,,Female,,,1
564999999,40,1,2,Black or African American,,Male,,,1
564999999,41,1,8,Asian,,Male,,,1
564999999,42,1,5,Asian,,Male,,,1
564999999,43,1,37,Asian,,Male,,,1
564999999,44,7,14,Asian,,Female,,,1
564999999,45,3,7,Asian,,Male,,,1
564999999,46,2,17,Asian,,Female,,,1
564999999,47,1,1,Asian,,Male,,,1
564999999,48,7,9,Asian,White,Female,,,1
564999999,49,1,8,Asian,,Male,,,1
564999999,50,7,25,Hispanic,,Female,,,1
564999999,51,3,6,White,,Female,,,1
564999999,52,1,14,Asian,,Male,,,1
564999999,53,2,17,White,,Male,,,1
564999999,54,1,3,Asian,,Female,,,1
564999999,55,2,18,Asian,White,Female,,,1
564999999,56,1,6,Asian,,Male,,,1
564999999,57,1,14,Asian,,Male,,,1
564999999,58,1,7,White,,Female,,,1
564999999,59,1,1,Asian,,Male,,,1
564999999,60,1,13,Asian,,Male,,,1
8051,1,7,119,Hispanic,,Female,,,0
8051,2,7,42,White,,Female,,,0
8051,3,7,1,Asian,,Female,,,0
8051,4,1,9,Asian,,Female,,,0
8051,5,2,8,Asian,,Male,,,0
8051,6,7,40,White,,Female,,,0
8051,7,7,52,Asian,,Female,,,0
8051,8,1,57,White,,Female,,,0
8051,9,5,48,White,,Male,,,0
8051,10,4,14,White,,Male,,,0
8051,11,2,55,Black or African American,,Female,,,0
8051,12,1,3,White,,Male,,,0
8051,13,1,35,Hispanic,,Female,,,0
8051,14,1,41,Asian,,Female,,,0
8051,15,2,105,Black or African American,,Male,,,0
8051,16,1,44,Black or African American,,Male,,,0
8051,17,6,72,White,,Male,,,0
8051,18,1,2,White,Hispanic,Female,,,0
8051,19,1,6,Asian,,Female,,,0
8051,20,1,17,White,,Female,,,0
8051,21,1,40,Asian,,Female,,,0
8051,22,1,43,Asian,,Female,,,0
8051,23,5,14,Asian,,Female,,,0
8051,24,5,2,Asian,,Male,,,0
8051,25,7,137,White,,Male,,,0
8051,26,7,77,White,Hispanic,Female,,,0
8051,27,7,76,Asian,,Female,,,0
8051,28,7,52,Asian,,Male,,,0
8051,29,1,32,Asian,,Male,,,0
8051,30,1,2,Hispanic,,Male,,,0
8051,31,1,34,Asian,,Female,,,0
8051,32,1,58,Asian,,Female,,,0
8051,33,1,22,Black or African American,,Male,,,0
8051,34,7,54,Asian,,Male,,,0
8051,35,1,89,Asian,,Male,,,0
8051,36,1,8,Hispanic,White,Female,,,0
8051,37,7,65,Asian,,Female,,,0
8051,38,1,16,Asian,,Female,,,0
8051,39,7,112,Black or African American,,Male,,,0
8051,40,1,4,White,,Female,,,0
8051,41,1,4,White,,Male,,,0
8051,42,1,31,,,,Cat fan page,,0
8051,43,1,2,White,,Female,,,0
8051,44,1,40,Black or African American,,Male,,,0
8051,45,1,2,White,,Female,,,0
8051,46,1,30,Asian,,Female,,,0
8051,47,1,67,Asian,,Female,,,0
8051,48,1,15,Hispanic,,Male,,,0
8051,49,1,53,Asian,,Male,,,0
8051,50,1,36,Asian,,Female,,,0
8051,51,1,39,Asian,,Female,,,0
8051,52,1,46,Asian,,Female,,,0
8051,53,1,35,White,,Female,,,0
8051,54,1,33,White,Black or African American,Female,,,0
8051,55,1,45,White,Hispanic,Female,,,0
8051,56,7,80,Asian,,Female,,,0
8051,57,1,53,Asian,,Male,,,0
8051,58,1,53,Asian,,Female,,,0
8051,59,1,54,White,,Male,,,0
8051,60,1,7,White,,Male,,,0
