participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
7615,1,1,0,3,Minutes,1,White,Female,,0
7615,2,1,0,15,Minutes,1,Asian,Male,,0
7615,3,1,0,5,Days,1,White,Male,,0
7615,4,1,0,6,Days,1,White,Female,,0
7615,5,1,0,7,Days,0,,,,0
7615,6,1,0,7,Days,1,White,Male,,0
7615,7,1,0,7,Days,1,White,Female,,0
7615,8,1,0,9,Days,1,Black or African American,Female,,0
7615,9,1,0,9,Days,1,Black or African American,Female,,0
7615,10,1,0,10,Days,1,White,Female,,0
6585,1,1,0,21,Days,1,White,Female,,0
6585,2,1,0,26,Days,1,Asian,Female,,0
6585,3,1,0,31,Days,1,White,Female,,0
6585,4,1,0,46,Days,1,White,Female,,0
6585,5,1,0,50,Days,1,White,Female,,0
6585,6,1,0,54,Days,1,White,Female,,0
6585,7,1,0,67,Days,1,Asian,Female,,0
6585,8,1,0,68,Days,1,Asian,Female,,0
6585,9,1,0,70,Days,1,White,Male,,0
6585,10,1,1,74,Days,1,Asian,Female,,0
7214,1,1,0,3,Days,,,,"FB was unable to find and show the post, I wasn't able ot get any more information",0
7214,2,1,0,3,Days,1,White,Female,,0
7214,3,1,1,5,Days,1,White,Male,,0
7214,4,1,0,5,Days,1,White,Female,,0
7214,5,1,0,11,Days,1,Hispanic,Female,,0
7214,6,1,0,11,Days,1,White,Male,,0
7214,7,1,0,11,Days,1,White,Male,"The participant reacted to another persons comment on a post, not the post itself",0
7214,8,1,0,11,Days,1,White,Female,,0
7214,9,1,0,11,Days,1,White,Female,,0
7214,10,1,0,18,Days,1,White,Female,,0
6755,1,1,0,2,Hours,0,,,,0
6755,2,1,0,7,Hours,1,White,Male,,0
6755,3,1,0,7,Hours,1,White,Female,,0
6755,4,0,1,7,Hours,1,Asian,Male,,0
6755,5,0,1,1,Days,1,Asian,Female,,0
6755,6,1,0,1,Days,1,Asian,Female,,0
6755,7,0,1,1,Days,1,Asian,Female,,0
6755,8,1,0,1,Days,1,Asian,Female,,0
6755,9,0,1,1,Days,1,Asian,Female,,0
6755,10,0,1,1,Days,1,Asian,Female,,0
7650,1,1,1,20,Hours,1,White,Female,,0
7650,2,1,1,1,Days,1,Hispanic,Female,,0
7650,3,1,0,1,Days,1,White,Female,,0
7650,4,1,1,1,Days,1,Asian,Male,,0
7650,5,0,1,22,Hours,0,,,"friend tagged the particpant in a comment under another post, the participant replied",0
7650,6,1,1,1,Days,1,White,Female,,0
7650,7,0,1,2,Days,1,White,Female,,0
7650,8,1,1,1,Days,1,Hispanic,Female,,0
7650,9,1,1,1,Days,1,White,Female,,0
7650,10,0,1,1,Days,1,Asian,Male,,0
2304,1,1,0,1,Days,0,,,,0
2304,2,1,0,1,Days,1,White,Female,,0
2304,3,1,0,1,Days,1,White,Female,,0
2304,4,1,0,3,Days,1,Hispanic,Female,,0
2304,5,1,0,4,Days,1,Hispanic,Female,,0
2304,6,1,1,5,Days,1,White,Female,,0
2304,7,1,0,5,Days,1,Hispanic,Male,,0
2304,8,1,0,5,Days,1,White,Female,,0
2304,9,1,0,5,Days,1,White,Male,,0
2304,10,1,0,5,Days,1,Asian,Female,,0
4800,1,1,0,1,Hours,0,White,Female,Celebrity Page,0
4800,2,0,1,3,Hours,1,White,Female,,0
4800,3,1,0,1,Days,0,White,Female,Celebrity Page,0
4800,4,1,0,2,Days,1,White,Male,,0
4800,5,1,0,4,Days,1,White,Male,,0
4800,6,1,0,5,Days,1,White,Female,,0
4800,7,1,0,11,Days,1,White,Female,,0
4800,8,1,0,10,Days,0,White,Female,Celebrity Page,0
4800,9,1,0,15,Days,1,White,Female,,0
4800,10,1,0,13,Days,1,Hispanic,Female,,0
3876,1,1,0,1,Days,1,Black or African American,Female,,0
3876,2,0,1,15,Days,0,,,,0
3876,3,0,0,13,Days,1,Asian,Female,,0
3876,4,0,1,16,Days,1,Hispanic,Male,,0
3876,5,1,0,17,Days,1,White,Male,,0
3876,6,1,1,24,Days,1,White,Female,,0
3876,7,1,0,44,Days,1,Black or African American,Female,,0
3876,8,0,1,25,Days,1,White,Female,,0
3876,9,1,0,26,Days,1,White,Female,,0
3876,10,1,0,26,Days,1,Asian,Female,,0
4301,1,0,1,2,Days,1,Hispanic,Female,,0
4301,2,1,0,5,Days,1,Hispanic,Male,,0
4301,3,1,0,11,Days,1,Hispanic,Female,,0
4301,4,1,0,15,Days,1,Hispanic,Female,,0
4301,5,1,0,9,Days,1,Hispanic,Male,,0
4301,6,0,1,9,Days,1,Hispanic,Male,,0
4301,7,0,1,10,Days,1,Hispanic,Female,,0
4301,8,0,1,10,Days,1,Hispanic,Female,,0
4301,9,0,1,15,Days,1,Hispanic,Female,,0
4301,10,0,1,15,Days,1,Hispanic,Female,,0
8755,1,1,0,1,days,1,white,female,,0
8755,2,1,0,3,days,1,white,male,,0
8755,3,1,0,20,days,1,white,female,,0
8755,4,1,0,35,days,1,asian,female,,0
8755,5,1,0,35,days,1,white,female,,0
8755,6,1,0,49,days,1,white,female,,0
8755,7,1,0,67,days,1,white,female,,0
8755,8,1,0,67,days,1,white,male,,0
8755,9,1,0,80,days,0,,,,0
8755,10,1,0,81,days,1,white,female,,0
2207,1,1,1,2,Days,1,Hispanic,Female,,0
2207,2,1,0,2,Days,1,Hispanic,Male,,0
2207,3,1,0,2,Days,1,Hispanic,Female,,0
2207,4,1,0,4,Days,0,,,,0
2207,5,1,0,5,Days,1,Hispanic,Female,,0
2207,6,1,0,6,Days,1,White,Female,,0
2207,7,1,0,8,Days,1,Hispanic,Male,,0
2207,8,1,0,8,Days,1,Hispanic,Male,,0
2207,9,1,0,6,Days,1,Hispanic,Female,,0
2207,10,1,0,,,0,,,Tenure - The original post was from over 99 days ago (December 2019),0
9726,1,1,0,5,Hours,1,White,Female,Participant also 'saved' this post,0
9726,2,1,0,46,Minutes,1,White,Female,,0
9726,3,0,1,23,Hours,1,Asian,Male,Participant also 'saved' this post,0
9726,4,1,1,5,Hours,1,White,Female,"A lot of interaction by the Participant, basically a FB comment fight",0
9726,5,0,0,1,Days,1,White,Female,Participant only 'saved' this post,0
9726,6,1,0,19,Hours,1,White,Female,Participant also 'shared' this post,0
9726,7,0,0,20,Hours,1,Asian,Male,Participant only 'saved' this post,0
9726,8,1,0,16,Hours,1,White,Female,,0
9726,9,0,1,20,Hours,1,White,Male,,0
9726,10,1,0,2,Days,1,White,Female,,0
3163,1,1,0,,,1,Asian,Female,"Tenure - Post was from over 99 days ago (March 10th, 2020)",0
3163,2,1,0,,,1,White,Male,"Tenure - Post was from over 99 days ago (21 weeks); Participant reacted to multiple comments on this post, not the post itself",0
3163,3,1,0,,,0,,,"Tenure - Post was from over 99 days ago (January 10th, 2020)",0
3163,4,1,1,,,1,Asian,Male,"Tenure - Post was from over 99 days ago (October 27th, 2019)",0
3163,5,1,1,,,1,White,Female,"Tenure - Post was from over 99 days ago (October 27th, 2019)",0
3163,6,1,1,,,1,White,Male,"Tenure - Post was from over 99 days ago (October 27th, 2019)",0
3163,7,1,0,,,1,Asian,Male,"Tenure - Post was from over 99 days ago (April 15th, 2019)",0
3163,8,1,0,,,1,White,Male,"Tenure - Post was from over 99 days ago (August 27th, 2019)",0
3163,9,1,0,,,0,,,"Tenure - Post was from over 99 days ago (August 30th, 2019)",0
3163,10,1,1,,,1,Asian,Female,"Tenure - Post was from over 99 days ago (August 31st, 2019)",0
6604,1,,,,,,,,"Participant doesn't interact with posts on FB, only lurks and uses it to network. We scrolled over a year back and there was no relevant recent activity.",0
6604,2,,,,,,,,,0
6604,3,,,,,,,,,0
6604,4,,,,,,,,,0
6604,5,,,,,,,,,0
6604,6,,,,,,,,,0
6604,7,,,,,,,,,0
6604,8,,,,,,,,,0
6604,9,,,,,,,,,0
6604,10,,,,,,,,,0
2177,1,1,0,3,Days,1,White,Female,,0
2177,2,0,1,4,Days,1,White,Female,,0
2177,3,1,0,4,Days,0,,,,0
2177,4,1,0,4,Days,0,,,,0
2177,5,1,0,5,Days,1,White,Female,,0
2177,6,1,0,6,Days,1,Asian,Male,,0
2177,7,1,0,4,Days,1,Hispanic,Female,,0
2177,8,1,0,5,Days,0,,,,0
2177,9,1,0,5,Days,0,,,,0
2177,10,1,0,6,Days,0,,,,0
213899999,1,0,1,10,Days,1,Asian,Female,,1
213899999,2,0,1,10,Days,1,Asian,Female,,1
213899999,3,1,0,9,Days,1,Asian,Female,,1
213899999,4,1,0,11,Days,1,Asian,Male,,1
213899999,5,0,1,1,Days,1,Asian,Male,,1
213899999,6,1,0,15,Days,1,Asian,Female,,1
213899999,7,0,1,13,Days,1,Asian,Female,,1
213899999,8,1,0,14,Days,1,Asian,Female,,1
213899999,9,1,0,16,Days,1,Asian,Male,,1
213899999,10,1,0,19,Days,1,Asian,Male,,1
6243,1,0,1,50,Days,1,Asian,Female,,0
6243,2,0,1,50,Days,1,Asian,Female,,0
6243,3,1,0,562,Days,1,Asian,Female,,0
6243,4,0,1,578,Days,1,Asian,Female,,0
6243,5,0,1,584,Days,1,Asian,Male,,0
6243,6,1,0,775,Days,1,Asian,Female,,0
6243,7,0,1,906,Days,1,White,Female,,0
6243,8,0,1,906,Days,1,White,Female,,0
6243,9,0,1,906,Days,1,White,Female,,0
6243,10,0,1,906,Days,1,Asian,Male,,0
7660,1,1,0,1,days,1,white,female,,0
7660,2,1,0,1,days,1,white,female,,0
7660,3,1,0,2,days,1,black or African American,male,,0
7660,4,1,0,2,days,1,white,female,,0
7660,5,0,1,2,days,1,black or African American,male,,0
7660,6,1,0,2,days,1,white,female,,0
7660,7,1,0,4,days,1,white,female,,0
7660,8,0,1,6,days,1,white,male,,0
7660,9,1,0,6,days,1,white,female,,0
7660,10,1,0,6,days,1,white,female,,0
1937,1,1,0,2,days,1,asian,male,,0
1937,2,1,0,2,days,1,asian,male,,0
1937,3,1,0,2,days,1,black or African American,male,,0
1937,4,1,0,1,days,1,asian,male,,0
1937,5,0,1,2,days,1,asian,male,,0
1937,6,0,1,2,days,1,asian,male,,0
1937,7,1,0,1,days,1,asian,male,,0
1937,8,1,0,2,days,1,asian,female,,0
1937,9,1,0,1,days,1,asian,male,,0
1937,10,1,0,3,days,1,white,male,,0
5458,1,1,0,2,hours,1,asian,female,,0
5458,2,1,0,20,hours,1,white,female,,0
5458,3,1,0,18,hours,1,asian,male,,0
5458,4,1,0,3,days,1,white,male,,0
5458,5,1,0,20,hours,1,asian,female,,0
5458,6,1,0,2,days,1,white,male,,0
5458,7,0,1,21,hours,1,white,male,,0
5458,8,0,1,21,hours,1,asian,female,,0
5458,9,1,0,21,hours,1,white,male,,0
5458,10,1,0,1,days,0,,,,0
9287,1,1,0,3,Days,1,Asian,Female,,0
9287,2,1,0,6,Days,1,White,Male,,0
9287,3,0,1,7,Days,1,White,Male,,0
9287,4,1,0,15,Days,1,White,Male,,0
9287,5,1,1,16,Days,1,Asian,Male,,0
9287,6,1,0,13,Days,1,White,Male,,0
9287,7,1,1,19,Days,1,Black or African American,Female,,0
9287,8,1,0,23,Days,1,White,Female,,0
9287,9,1,0,26,Days,1,White,Female,,0
9287,10,1,0,36,Days,1,White,Male,,0
8464,1,1,0,9,Days,1,Black or African American,Female,,0
8464,2,1,0,5,Days,1,White,Female,,0
8464,3,1,0,5,Days,0,,,,0
8464,4,1,0,7,Days,1,White,Male,,0
8464,5,1,0,8,Days,1,White,Female,,0
8464,6,1,0,9,Days,1,White,Female,,0
8464,7,1,0,9,Days,1,White,Male,,0
8464,8,1,0,10,Days,1,White,Male,,0
8464,9,1,0,12,Days,1,White,Female,,0
8464,10,1,0,13,Days,1,Hispanic,Female,,0
3038,1,1,0,1,Days,1,White,Female,,0
3038,2,1,0,15,Hours,1,Asian,Male,,0
3038,3,1,0,1,Days,1,Asian,Male,,0
3038,4,1,0,3,Days,1,Asian,Male,,0
3038,5,1,0,3,Days,1,White,Male,,0
3038,6,1,0,3,Days,1,Asian,Female,,0
3038,7,1,0,3,Days,1,Asian,Male,,0
3038,8,1,0,4,Days,1,Asian,Female,,0
3038,9,1,0,4,Days,1,Asian,Female,,0
