participant_id,order,preference (1-7),post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),event (y/n),race_RA_1,race_RA_2,gender,Notes,,,manual_diag
564999999,1,5,,,1,1,,0,Asian,White,Male,,black,BL,1
564999999,2,2,,,1,1,,0,Asian,,Male,,american indian,AI,1
564999999,3,4,,,1,1,,0,White,,Male,,asian,AS,1
564999999,4,3,,,0,1,,0,,,,,pacific islander,PI,1
564999999,5,2,,,1,0,,0,White,,Male,,,,1
564999999,6,5,,,1,1,,0,Black or African American,,Male,,,,1
564999999,7,1,,,1,0,,0,Asian,,Female,,,,1
564999999,8,1,,,1,1,,0,Asian,,Female,,,,1
564999999,9,1,,,1,0,,0,White,,Female,,,,1
564999999,10,5,,,1,1,,0,Black or African American,,Male,,,,1
564999999,11,1,,,1,0,,0,White,,Female,,,,1
564999999,12,6,,,0,0,,0,,,,,,,1
564999999,13,2,,,1,1,,0,Asian,,Male,,,,1
564999999,14,2,,,0,0,,0,,,,Suggested Post,,,1
564999999,15,3,,,0,0,,0,,,,,,,1
564999999,16,1,,,1,0,,0,Asian,,Male,,,,1
564999999,17,4,,,1,1,,0,White,,Female,,,,1
564999999,18,5,,,1,1,,0,,,,Unidentifiable,,,1
564999999,19,2,,,1,1,,0,White,,Male,,,,1
564999999,20,5,,,1,1,,0,Asian,,Male,,,,1
564999999,21,1,,,0,0,,0,,,,Suggested Post,,,1
564999999,22,1,,,1,1,,0,Asian,,Female,,,,1
564999999,23,6,,,1,1,,0,,,Male,Unidentifiable,,,1
564999999,24,6,,,0,0,,0,,,,,,,1
564999999,25,1,,,1,1,,0,Asian,,Female,,,,1
564999999,26,2,,,1,0,,0,White,,Male,,,,1
564999999,27,5,,,0,0,,0,,,,Suggested Post,,,1
564999999,28,2,,,1,1,,0,White,,Female,,,,1
564999999,29,2,,,1,0,,0,Asian,,Female,,,,1
564999999,30,1,,,1,1,,0,Hispanic,Asian,Female,,,,1
564999999,31,1,,,1,0,,0,Hispanic,,Female,,,,1
564999999,32,4,,,1,1,,0,White,,Male,,,,1
564999999,33,4,,,0,0,,0,,,,,,,1
564999999,34,5,,,1,1,,0,Asian,,Female,,,,1
564999999,35,4,,,1,1,,0,White,,Male,,,,1
564999999,36,1,,,0,0,,0,,,,,,,1
564999999,37,1,,,1,1,,0,White,,Female,,,,1
564999999,38,6,,,1,1,,0,Asian,,Male,,,,1
564999999,39,4,,,1,1,,0,Black or African American,,Male,,,,1
564999999,40,6,,,0,0,,0,,,,,,,1
564999999,41,2,,,0,0,,0,,,,Suggested Post,,,1
564999999,42,3,,,1,1,,0,White,,Male,,,,1
564999999,43,1,,,1,1,,0,White,,Male,,,,1
564999999,44,1,,,1,1,,0,White,,Male,,,,1
564999999,45,5,,,1,1,,0,Asian,,Male,,,,1
564999999,46,5,,,0,0,,0,,,,Suggested Post,,,1
564999999,47,1,,,1,1,,0,Asian,,Female,,,,1
564999999,48,4,,,1,1,,0,White,,Female,,,,1
564999999,49,1,,,1,1,,0,Asian,,Male,,,,1
564999999,50,1,,,1,1,,0,White,,Male,,,,1
564999999,51,3,,,0,0,,0,,,,,,,1
564999999,52,4,,,0,0,,0,,,,Suggested Post,,,1
564999999,53,2,,,0,0,,0,,,,,,,1
564999999,54,5,,,1,1,,0,White,,Non-binary,,,,1
564999999,55,5,,,1,1,,0,Asian,,Male,,,,1
564999999,56,1,,,1,1,,0,Asian,,Female,,,,1
564999999,57,5,,,1,1,,0,White,,Female,,,,1
564999999,58,2,,,0,0,,0,,,,Suggested Post,,,1
