RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes,manual_diag
TM,7615,7/23,11:08,11:34,Asian,Female,,,0
JM,6585,7/23,11:15,11:45,Asian,Female,96,Did not have enough posts to finish news feed. ,0
TM,7214,7/23,12:15,12:43,White,Female,1588,"Participant uses News Feed Eradicator, she does not like looking at her newsfeed casually ",0
JM,6755,7/23,12:19,1:02,Asian,Female,1504,,0
TM,7650,7/23,1:31,2:03,Hispanic,Female,832,,0
JM,2304,7/23,1:35,2:04,White,Female,970,,0
TM,480,7/23,2:47,,White,Female,241,,0
NH,3976,7/23,2:00,2:27,Asian,Female,1031,,0
NH,4301,7/23,3:07,3:41,Hispanic,Female,2081,,0
AJ,8755,7/23,14:43,15:20,white,female,221,,0
JM,2020,7/23,3:08,3:43,Asian,Female,1712,,0
TM,2207,7/24,11:05,11:28,Hispanic,Female,300,,0
TM,9726,7/24,12:05,12:46,Black or African American,Female,834,"Race - participant looked mixed, but there was only one option so I went with 'Black'; Participant was previously scrolling through Facebook prior to running the study, we refreshed the News Feed to get a fresh batch of content",0
TM,3163,7/24,1:10,1:38,Asian,Male,162,"Race - participant looked mixed, but there was only one option so I went with 'Asian'",0
JM,5536,7/24,11:05,11:33,White,Female,1216,,0
JM,4429,7/24,12:19,12:55,Hispanic,Male,2262,,0
TM,6604,7/24,2:15,2:39,White,Female,13,,0
NH,2177,7/24,12:30,12:57,White,Female,116,,0
NH,213899999,7/24,1:28,1:50,Asian,Male,293,,1
NH,6243,7/24,2:44,3:00,Asian,Male,35,Less than 60 posts on NF,0
AJ,7660,7/24,12:15,12:54,white,female,2648,occassionally bad connections,0
AJ,1937,7/24,13:30,14:05,asian,male,450,,0
AJ,5458,7/24,14:45,15:27,asian,female,1367,poor audio quality,0
TM,9287,7/27,12:15,12:40,White,Male,232,,0
NH,8464,7/27,11:01,11:19,White,Female,2011,,0
NH,3038,7/27,12:15,12:34,Asian,Male,1799,,0
NH,7866,7/27,1:32,1:52,Black or African American,Female,1322,,0
AJ,6639,7/27,12:38,12:03,asian,female,244,,0
JM,7191,7/27,11:03,11:34,Asian,Male,518,,0
JM,2995,7/27,1:33,2:01,Hispanic,Male,486,,0
JM,8538,7/28,11:06,11:33,White,Male,283,,0
TM,5449,7/28,1:58,2:26,Asian,Male,12,"This participant really doesnt use FB much (as you can tell from his friend count and the 'Recent Activity' tab), the content on his newsfeed was basically almost all the same guys and a couple of pages he's liked.",0
JM,6646,7/28,2:03,2:56,Asian,Female,228,,0
NH,1989,7/28,11:00,11:19,White,Female,279,,0
NH,8968,7/28,11:59,12:18,Asian,Female,994,,0
NH,4810,7/28,12:58,1:18,White,Female,809,,0
NH,2574,7/28,2:00,2:11,White,Female,913,Less than 60 posts on NF,0
NH,3313,7/28,2:58,3:24,Asian,Female,1216,,0
AJ,7031,7/28,11:05,11:37,white,female,24,her nf cut short,0
AJ,5775,7/29,12:00,12:37,hispanic,female,393,,0
AJ,6164,7/29,14:05,14:40,asian,male,569,,0
JM,1983,7/30,11:04,11:26,asian,male,932,,0
AJ,9706,7/30,11:15,11:51,asian,female,428,,0
AJ,4463,7/30,11:36,12:07,asian,female,1915,"bad internet connection, her computer shut down once and we had to scroll to find the last post we were on",0
AJ,3984,7/30,15:00,15:30,hispanic,female,712,,0
BG,7618,7/31,11:58,12:25,White,Female,1215,Asked for debriefing information (noted in post session log as well),0
BG,4877,7/31,2:00,2:27,Hispanic,Female,233,,0
AJ,7124,7/31,11:57,12:27,asian,female,1887,,0
AJ,3637,7/31,15:03,15:43,white,female,1210,,0
JS,3446,8/26,12:30,13:22,asian,female,1555,,0
TM,6377,8/26,1:58,2:31,White,Female,287,,0
JS,4405,8/26,2:00,2:35,Asian,Female,763,,0
AJ,4904,8/26,12:40,1:20,asian,male,472,,0
TM,9378,8/27,12:01,12:47,White,Female,413,,0
TM,2454,8/27,12:59,1:33,Hispanic,Female,579,,0
TM,7404,8/27,2:01,2:44,White,Female,429,,0
TM,6908,8/27,3:04,3:45,Asian,Male,1719,,0
AJ,8704,8/27,11:19,12:01,asian,female,74,,0
AJ,2138,8/27,15:02,15:50,white,female,457,,0
AJ,8086,8/28,11:02,11:50,white,female,259,"when she was filling out the consent form it says link outdated, but she finished it nevertheless",0
AJ,8179,8/28,12:04,12:43,white,female,1266,,0
AJ,7511,8/28,15:03,15:45,white,female,631,slow internet,0
AJ,6696,8/29,11:03,11:50,asian,female,373,,0
AJ,3818,8/29,12:05,12:43,asian,female,117,,0
