RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes
TM,3352,9/14,2:18,2:59,Asian,Female,290,
TM,5141,9/14,3:15,3:44,White,Female,621,
JM,9089,9/14,3:22,3:56,Hispanic,Female,759,
AJ,4890,9/14,15:17,15:46,black or African American,male,2,he follows a lot of pages; slow internet connection; only has 10 posts on his nf
JM,4012,9/15,11:04,11:43,Asian,Male,495,
JM,2278,9/15,12:00,12:46,Black or African American,Female,455,
TM,5095,9/15,1:01,1:38,Asian,Female,"1,318",
JM,5475,9/15,1:03,1:46,Asian,Female,892,
TM,8576,9/15,2:01,2:26,Asian,Female,"1,588",
JM,6265,9/15,2:02,2:37,White,Female,611,
TM,3456,9/15,3:06,3:32,White,Female,480,
AJ,1814,9/16,12:09,12:59,Hispanic,male,161,
JM,4116,9/16,11:06,11:33,Asian,Male,443,
JM,2223,9/16,1:04,1:30,Asian,Female,661,
JM,7433,9/16,2:06,2:28,White,Female,754,
TM,1948,9/16,3:01,3:56,Asian,Female,392,
AJ,2001,9/16,12:09,12:43,White,male,481,
AJ,6231,9/16,13:02,13:45,White,Female,115,
JM,9718,9/17,11:01,11:36,Asian,Female,672,
JM,8014,9/17,2:08,2:08,,,44,
AJ,2711,9/17,11:01,11:20,White,Male,1,he has 0 friends
AJ,8999,9/17,14:05,14:34,Asian,Female,389,"her nf got cutoff and the page says ""something went wrong"", we refreshed the page twice and still got the message"
TM,1932,9/18,11:01,11:30,Asian,Female,356,
TM,3308,9/18,12:01,12:43,Black or African American,Female,224,
JM,7566,9/18,2:02,2:36,Asian,Female,310,
JM,4919,9/18,3:20,,Black or African American,Female,25,
CF,1407,9/18,3:05,3:58,Asian,Female,625,
AJ,3878,9/18,11:07,11:49,White,Male,23,
AJ,5087,9/18,12:05,12:35,White,Female,146,
TM,7579,9/21,11:01,11:34,Asian,Female,697,
TM,9665,9/21,12:02,12:29,Asian,Female,798,
JM,6188,9/21,2:04,,White,Male,656,
AJ,7635,9/21,11:05,11:35,Asian,Female,"1,192",
AJ,7633,9/21,15:03,15:43,White,Male,766,
TM,8608,9/22,12:01,12:23,White,Female,182,
JM,1915,9/22,1:02,1:31,Black or African American,Female,"1,957",
JM,2210,9/22,2:02,2:38,White,Female,893,
TM,7467,9/22,2:15,2:39,Asian,Female,695,
TM,5697,9/22,3:02,3:33,White,Male,"2,038","Participant wanted to inform us that when we ask about gender, we give them sex options"
JM,2292,9/22,3:08,3:35,White,Female,925,
AJ,2993,9/22,11:04,11:35,White,Female,"1,313",
AJ,2966,9/22,15:01,15:26,Asian,Female,5,her nf contains only 2 posts; she was given a sign-up bonus
JM,6036,9/23,11:07,11:37,Hispanic,Female,864,
JM,8036,9/23,1:02,1:38,White,Female,782,
JM,9633,9/23,2:02,2:39,Asian,Female,259,
AJ,3107,9/23,11:06,11:40,White,Female,950,
AJ,4905,9/23,12:03,12:37,Hispanic,Female,"1,318",
JM,8823,9/23,3:03,3:38,Asian,Female,917,Had technical issues and news feed reset 5 posts in. 
JM,5536,9/24,11:07,11:39,Hispanic,Male,"1,071",
JM,2354,9/24,12:00,12:27,White,Female,347,
TM,3116,9/24,12:22,,Asian,Male,976,
JM,3298,9/24,1:06,1:49,White,Female,582,
JM,2475,9/24,2:02,2:31,White,Male,225,
AJ,8682,9/24,11:02,11:43,White,Male,330,
AJ,2475,9/24,12:03,12:33,White,Female,426,
AJ,2379,9/24,13:03,13:51,Black or African American,Female,55,nf cut short after 39
AJ,5051,9/24,15:06,15:33,Hispanic,Male,618,
JM,7809,9/25,3:06,3:31,Asian,Female,948,
AJ,6904,9/25,11:03,11:34,Black or African American,Male,233,
AJ,4151,9/25,12:02,12:40,Asian,Female,"1,423",
AJ,5642,9/25,14:02,14:37,Asian,Male,603,
AJ,7170,9/25,15:07,15:30,Asian,Female,194,
JM,8803,9/28,11:02,11:33,White,Female,446,
TM,5591,9/28,11:03,11:45,White,Female,810,
CF,4925,9/28,12:08,1:08,Other,Female,268,"Middle Eastern? Israeli; Most of content was in Hebrew, participant translated content for me"
CF,6336,9/28,2:01,2:51,Asian,Female,847,
TM,3079,9/28,2:03,2:30,White,Female,211,
CF,3653,9/28,3:02,3:45,Hispanic,Female,153,
JM,8606,9/28,11:56,12:18,Asian,Female,396,
JM,8571,9/28,1:09,1:35,White,Female,895,
JM,6659,9/28,2:59,3:25,Hispanic,Male,113,
TM,9726,9/29,1:01,1:30,Asian,Male,689,
JM,7715,9/29,11:14,11:40,Asian,Male,"1,464",
CF,2375,9/30,11:58,12:59,Hispanic,Female,291,"Some content in Spanish, political news from her hometown"
TM,6724,9/30,1:03,1:35,White,Female,564,
TM,9235,9/30,2:01,2:29,White,Female,219,
TM,3873,9/30,3:00,,Black or African American,Female,68,Participant had too few fb friends to be alligible to participate in the study 
TM,6305,10/1,11:59,12:22,Asian,Female,840,
TM,5821,10/1,2:01,2:24,White,Female,472,
TM,3969,10/1,2:48,3:29,Hispanic,Male,359,
JM,2762,10/1,1:03,1:23,Asian,Female,279,
JM ,1344,10/1,2:05,2:35,White,Female,"1,609",
JM,1125,10/1,3:07,3:33,Asian,Female,"1,034",
TM,8556,10/2,11:00,11:32,White,Male,"2,728",
TM,9595,10/2,12:01,12:58,Black or African American,Female,603,
TM,6971,10/2,1:03,1:28,Hispanic,Female,215,
TM,2927,10/2,3:05,3:31,Asian,Female,145,
CF,8283,10/2,11:03,11:50,Asian,Female,235,"I'm classmates with this person, so I knew some of the people on her feed"
CF,2258,10/2,2:00,2:48,White,Male,972,South American? Is that white or hispanic
CF,9521,10/2,2:59,3:43,White,Female,586,
TM,6446,10/6,11:21,11:47,Asian,Male,"1,548",
CF,4008,10/6,11:16,12:01,White,Male,138,
TM,7429,10/6,12:16,12:55,Hispanic,Male,308,Participant has been curating FB content
