participant_id,order,preference (1-7),familiarity (1-7),relationship,post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),common_friends,race_RA_1,race_RA_2,gender,Notes,,,
5319,1,1,,,57,Minutes,0,0,0,,,,,Page A,,,
5319,2,1,1,Don't know personally,6,Hours,1,1,0,0,White,,Female,Group A,,,
5319,3,4,1,Don't know personally,11,Hours,1,1,0,0,Asian,,Female,Group B,,,
5319,4,4,1,Don't know personally,50,Minutes,1,1,0,5,Asian,,Female,Group C,,,
5319,5,1,,,1,Hours,0,0,0,,,,,,,,
5319,6,2,,,16,Hours,0,0,0,,,,,"""_____ replied to a comment""",,,
5319,7,1,1,Don't know personally,1,Hours,1,1,0,9,Asian,,Male,Group C,,,
5319,8,3,1,Don't know personally,1,Days,1,1,0,0,White,,Female,,,,
5319,9,2,5,Friend,2,Hours,1,0,0,98,White,,Male,SK wishing friend a happy bday,,,
5319,10,2,3,Acquaintance,1,Hours,1,0,0,194,White,,Female,,,,
5319,11,4,,,1,Hours,0,0,0,,,,,,,,
5319,12,6,1,Don't know personally,8,Minutes,1,1,0,4,Asian,,Male,,,,
5319,13,3,,,2,Days,0,0,0,,,,,Page A,,,
5319,14,1,1,Don't know personally,33,Minutes,1,1,0,0,White,,Female,Group A,,,
5319,15,5,,,1,Hours,0,0,0,,,,,Page A,,,
5319,16,5,1,Don't know personally,11,Hours,1,1,0,0,Asian,,Female,Group B,,,
5319,17,3,1,Don't know personally,2,Days,1,1,0,0,Asian,,Female,LB in FFS,,,
5319,18,5,2,Don't know personally,2,Days,1,0,0,53,White,,Female,"LB; ""_____ was tagged""",,,
5319,19,6,,,1,Hours,0,0,0,,,,,WW,,,
5319,20,7,5,Friend,46,Minutes,1,1,0,31,White,,Male,CS in ChoMun,,,
5319,21,1,,,2,Hours,0,0,0,,,,,Page A,,,
5319,22,3,1,Don't know personally,2,Hours,1,1,0,0,White,,Female,Group A,,,
5319,23,5,5,Friend,52,Minutes,1,0,0,38,White,,Female,GM,,,
5319,24,3,1,Don't know personally,20,Hours,1,0,0,1,White,,Female,"MH: ""_____ was tagged""",,,
5319,25,2,,,12,Hours,0,0,0,,,,,Page A,,,
5319,26,1,1,Don't know personally,4,Hours,1,1,0,0,White,,Male,Group A,,,
5319,27,1,1,Don't know personally,2,Hours,1,1,0,11,Asian,,Male,Group C,,,
5319,28,1,,,15,Hours,0,0,0,,,,,Page A,,,
5319,29,2,1,Don't know personally,2,Hours,1,1,0,16,Asian,,Female,CY in FFS,,,
5319,30,5,1,Don't know personally,11,Hours,1,1,0,0,White,,Female,Group B,,,
3056,1,4,,,1,Days,0,0,0,0,,,,,,,
3056,2,2,2,Don't know personally,16,Minutes,1,0,0,23,White,,Female,,,,
3056,3,6,,,19,Minutes,0,0,0,0,,,,,,,
3056,4,3,2,Don't know personally,52,Minutes,1,0,0,247,White,,Male,,,,
3056,5,1,1,Don't know personally,28,Minutes,1,1,0,3,White,,Male,,,,
3056,6,6,,,8,Minutes,0,0,0,0,,,,,,,
3056,7,1,1,Don't know personally,2,Hours,1,0,0,10,White,,Male,,,,
3056,8,3,2,Don't know personally,2,Hours,1,0,0,231,White,,Male,,,,
3056,9,4,,,3,Days,0,0,0,0,,,,,,,
3056,10,1,1,Don't know personally,3,Hours,1,0,0,135,White,,Female,,,,
3056,11,4,3,Acquaintance,2,Hours,1,0,0,283,Black or African American,,Male,,,,
