participant_id,order,familiarity (1-7),mutual_friends,race_RA_1,race_RA_2,gender,Notes
1947,1,1,4,White,,Female,
1947,2,5,8,White,,Female,
1947,3,6,4,Black or African American,,Female,
1947,4,5,23,White,,Male,
1947,5,3,1,White,,Female,
1947,6,3,6,White,,Female,
1947,7,1,17,White,,Female,
1947,8,4,18,White,,Female,
1947,9,2,10,Asian,,Female,
1947,10,4,30,Black or African American,,Female,
1947,11,3,24,White,,Female,
1947,12,3,3,White,,Female,
1947,13,1,12,White,,Female,
1947,14,1,8,White,,Female,
1947,15,5,35,White,,Male,
1947,16,5,16,Asian,,Female,
1947,17,3,5,White,,Male,
1947,18,5,8,White,,Female,
1947,19,1,6,White,,Female,
1947,20,2,5,White,,Male,
1947,21,2,4,White,,Female,
1947,22,2,24,White,,Female,
1947,23,2,6,White,,Female,
1947,24,1,28,Other,,Female,
1947,25,2,30,Asian,,Female,
1947,26,4,39,White,,Male,
1947,27,4,15,White,,Female,
1947,28,1,12,White,,Female,
1947,29,3,28,Asian,,Female,
1947,30,4,8,White,,Male,
1947,31,6,4,Other,,Male,
1947,32,3,5,White,,Female,
1947,33,1,1,White,,Female,
1947,34,6,6,White,,Female,
1947,35,1,22,White,,Female,
1947,36,4,40,White,,Female,
1947,37,3,27,White,,Male,
1947,38,4,3,White,,Male,
1947,39,1,5,White,,Female,
1947,40,2,14,Black or African American,,Male,
1947,41,1,4,Black or African American,,Male,
1947,42,4,7,White,,Female,
1947,43,5,25,White,,,male/female sharing account
1947,44,1,1,White,,Female,
1947,45,6,6,White,,Male,
1947,46,1,3,White,,Female,
1947,47,1,32,White,,Male,
1947,48,7,8,White,,Male,
1947,49,1,6,Asian,,Female,
1947,50,2,1,White,,Female,
1947,51,1,2,Asian,,Female,
1947,52,1,8,Hispanic,,Female,
1947,53,3,14,White,,Female,
1947,54,2,21,White,,Female,
1947,55,1,2,White,,Male,
1947,56,2,23,White,,Male,
1947,57,3,2,Black or African American,,Female,
1947,58,1,25,Black or African American,,Male,
1947,59,2,19,White,,Female,
1947,60,5,20,Other,,Female,
3163,1,1,25,Other,,Female,
3163,2,1,12,White,,Female,
3163,3,5,7,Other,,Female,
3163,4,5,68,Other,,Female,
3163,5,4,66,Other,,Male,
3163,6,1,2,Other,,Male,
3163,7,1,1,Other,,Male,
