RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes
JG,1947,6/23,10:00,10:52,White,Female,652,
JG,3163,6/24,10:00,10:47,Other,Female,"1,847","other = Middle Eastern, for all indications of ""other"" for this participant's data"
IC,9497,6/24,11:30,12:29,Hispanic,Female,84,"The participant reached ""You're All Caught Up"" mark on the News Feed, so there were no new posts and we stopped."
IC,1121,6/24,3:00,3:47,Asian,Female,950,
IC,9219,6/24,4:00,4:43,Asian,Male,520,
IC,2484,6/24,5:00,5:40,White,Male,621,
JG,7313,6/25,10:00,10:50,Asian,Male,"1,033",
VI,6917,6/25,10:30,11:25,White,Male,177,"The participant reached ""You're All Caught Up"" mark on the News Feed, so there were no new posts and we stopped."
VI,4388,6/25,12:00,12:45,White,Female,"1,682",
VI,2436,6/25,1:00,1:40,White,Female,397,
VI,4586,6/26,2:00,2:35,Asian,Female,"1,123","Accidentally clicked at 58 posts, stopped data collection"
VI,8873,6/26,3:00,3:36,White,Female,129,
VI,9495,6/26,4:00,4:28,White,Male,280,"The participant reached ""You're All Caught Up"" mark on the News Feed at 48 posts"
IC,4336,6/26,11:30,12:10,Asian,Female,96,"The participant reached ""You're All Caught Up"" mark on the News Feed, so there were no new posts and we stopped."
IC,2181,6/26,12:25,1:10,Asian,Male,725,"The ""People you may know"" page stopped loading new profiles"
IC,2973,6/26,2:57,3:38,White,Male,414,
IC,8320,6/26,4:57,5:29,Asian,Female,985,
JG,3815,6/26,1:00,1:51,Asian,Male,811,
JG,2004,6/29,4:00,4:36,Asian,Female,851,
IC,8841,6/29,4:00,4:36,Asian,Female,516,
IC,6814,6/29,4:57,5:32,White,Female,678,
JG,9100,6/30,10:00,10:46,Other,Male,410,
IC,3231,6/30,12:30,1:08,Asian,Female,"1,271",
JG,6301,7/1,10:00,10:44,Other,Male,"1,264",
JG,3060,7/1,11:30,12:10,Asian,Female,"1,571",
SL ,3141,7/1,3:00,4:10,Other,Female,296,
IC,8721,7/1,11:30,12:07,Asian,Female,82,
IC,4342,7/1,12:20,12:51,Asian,Male,118,
IC,2009,7/1,4:00,4:43,Asian,Female,"1,170",
SV,5282,7/2,12:00,13:00,Asian,Female,"1,117",
SV,8127,7/2,13:00,14:00,Asian,Female,901,
JG,1360,7/2,2:00,2:45,White,Female,195,
SL,9753,7/2,4:00,4:58,Asian,Female,858,
IC,9667,7/2,11:00,11:45,Asian,Female,131,"The participant reached ""You're All Caught Up"" mark on the News Feed, so there were no new posts and we stopped."
IC,4156,7/2,12:00,12:37,Hispanic,Male,440,
IC,3773,7/2,12:57,1:32,Asian,Male,236,
IC,3301,7/2,3:00,3:33,Asian,Female,326,
IC,5220,7/2,4:00,4:30,Asian,Female,"1,213",
IC,2372,7/2,5:00,5:27,Black or African American,Female,365,
JG,9580,7/3,10:00,10:50,White,Female,889,
SL,9507,7/3,3:58,5:10,Asian,Female,838,"Participant did not have Zoom downloaded on computer at direction for screen-sharing, downloaded and re-joined on computer at 4:11, this laptop did not have screen share capabilities and retrying on another laptop, continued at 4:16"
SL ,8136,7/3,6:00,6:47,Asian,Female,242,
CR,1598,7/4,12:00,12:38,White,Female,384,
IC,1361,7/3,11:00,11:35,Asian,Male,908,
IC,8370,7/3,12:00,12:31,Asian,Female,646,
IC,2424,7/3,1:00,1:33,Asian,Male,"1,554",
IC,3423,7/6,10:00,10:33,White,Male,59,"The participant reached ""You're All Caught Up"" mark on the News Feed, so there were no new posts and we stopped."
IC,4128,7/6,11:00,11:30,Asian,Male,948,"The participant did not have a ""People you may know"" section"
IC,3434,7/6,12:00,12:34,Asian,Male,"1,601",
IC,8895,7/6,2:57,3:22,Asian,Female,,"Due to technical difficulties, I could not collect data for this participant."
IC,2727,7/6,3:55,4:30,Hispanic,Female,563,
IC,6191,7/6,4:58,,Asian,Male,"1,084",
GS,5347,7/6,3:00,4:18,White,Female,"1,385",The 'other' is classified as Middle Eastern 
JG,5597,7/7,10:30,11:19,White,Female,394,computer crash during news feed collection so did not complete that part (it refreshed the page)
SV,6012,7/7,13:00,13:50,White,Female,"1,410",
