participant_id,order,preference (1-7),post_tenure,tenure_units,human (y/n),nf_group (y/n),event (y/n),caste_RA,religion_RA,gender,Notes,,
2838,1,4,11,Hours,0,0,0,,,,tasty,,
2838,2,6,1,Hours,0,0,0,,,,Ministry of health and family welfare GOI - suggested for you,,
2838,3,1,1,Hours,0,0,0,,,,,,
2838,4,5,4,Hours,0,0,0,,,,Tasty,,
2838,5,5,32,Minutes,0,0,0,,,,cooking page,,
2838,6,1,3,Days,0,0,0,,,,Zindagi Gulzar hai,,
2838,7,3,1,Days,0,0,0,,,,Tasty,,
2838,8,5,1,Days,0,0,0,,,,Mumbai mendi art professional arrits ,,
2838,9,1,3,Days,0,0,0,,,,zindagi Gulzar hai,,
2838,10,4,5,Minutes,0,0,0,,,,Tasty,,
2838,11,6,1,Hours,0,0,0,,,,Ministry of health and family welfare GOI - suggested for you,,
2838,12,1,23,Hours,0,0,0,,,,Tasty,,
2838,13,6,5,Hours,0,0,0,,,,Ministry of health and family welfare GOI - suggested for you,,
2838,14,1,13,Hours,0,0,0,,,,tasty,,
2838,15,1,3,Days,0,0,0,,,,zindagi Gulzar hai,,
2838,16,1,2,Days,0,0,0,,,,Mumbai mendi art professional arrits ,,
2838,17,6,1,Days,0,0,0,,,,Ministry of health and family welfare GOI - suggested for you,,
2838,18,3,5,Hours,0,0,0,,,,tasty,,
2838,19,6,1,Days,0,0,0,,,,Ministry of health and family welfare GOI - suggested for you,,
2838,20,1,13,Hours,0,0,0,,,,tasty,,
2838,21,1,23,Hours,0,0,0,,,,zindagi Gulzar hai,,
2838,22,7,2,Hours,1,0,0,,Muslim,Female,Her own profile pic update,,
2838,23,1,3,Days,0,0,0,,,,zindagi Gulzar hai,,
2838,24,5,8,Hours,0,0,0,,,,KhanaPakana.com,,
2838,25,4,7,Hours,0,0,0,,,,tasty,,
2838,26,1,23,Hours,0,0,0,,,,zindagi Gulzar hai,,
2838,27,4,6,Hours,0,0,0,,,,KhanaPakana.com,,
2838,28,2,10,Hours,0,0,0,,,,tasty,,
2838,29,,,,,,,,,,,,
2838,30,,,,,,,,,,,,
2838,31,,,,,,,,,,,,
2838,32,,,,,,,,,,,,
2838,33,,,,,,,,,,,,
2838,34,,,,,,,,,,,,
2838,35,,,,,,,,,,,,
2838,36,,,,,,,,,,,,
2838,37,,,,,,,,,,,,
2838,38,,,,,,,,,,,,
2838,39,,,,,,,,,,,,
2838,40,,,,,,,,,,,,
2838,41,,,,,,,,,,,,
2838,42,,,,,,,,,,,,
2838,43,,,,,,,,,,,,
2838,44,,,,,,,,,,,,
2838,45,,,,,,,,,,,,
2838,46,,,,,,,,,,,,
2838,47,,,,,,,,,,,,
2838,48,,,,,,,,,,,,
2838,49,,,,,,,,,,,,
2838,50,,,,,,,,,,,,
2838,51,,,,,,,,,,,,
2838,52,,,,,,,,,,,,
2838,53,,,,,,,,,,,,
2838,54,,,,,,,,,,,,
2838,55,,,,,,,,,,,,
2838,56,,,,,,,,,,,,
2838,57,,,,,,,,,,,,
2838,58,,,,,,,,,,,,
2838,59,,,,,,,,,,,,
2838,60,,,,,,,,,,,,
4309,1,3,22,Hours,1,0,0,,,Male,No last name,,
4309,2,2,5,Hours,1,0,0,,Muslim,Male,Khan,,
4309,3,1,12,Hours,1,0,0,,Muslim,Male,Khan,,
4309,4,6,1,Days,1,0,0,,Hindu,Male,Maurya,,
4309,5,5,20,Hours,1,0,0,,Hindu,Male,Shinde,,
4309,6,7,6,Hours,1,0,0,,,Male,Sk - not sure what the last name is,,
4309,7,6,1,Days,0,0,0,,,,MS Dhoni Fans - Suggested for you,,
4309,8,2,5,Hours,1,0,0,,Hindu,Male,Bind,,
4309,9,1,14,Hours,1,0,0,,Hindu,Male,Maurya,,
4309,10,1,5,Hours,1,0,0,,Muslim,Male,Shaikh,,
4309,11,2,1,Days,1,0,0,,Hindu,Female,Rautela - suggested for you,,
4309,12,7,3,Hours,1,1,0,,Hindu,Male,Sharma,,
4309,13,4,1,Hours,1,0,0,,Hindu,Male,MAUrya,,
4309,14,1,,,1,0,0,,Hindu,Male,Prajapati,,
4309,15,1,4,Days,1,0,0,,Hindu,Male,Rajput,,
4309,16,5,7,Days,0,0,0,,,,Sundara Karnataka - suggeted for you,,
4309,17,4,1,Days,1,0,0,,,Male,Sk - not sure what the last name is,,
4309,18,5,2,Days,1,0,0,,Hindu,Male,MAUrya,,
4309,19,4,2,Days,1,0,0,,Hindu,Male,Maurya,,
4309,20,7,3,Days,1,0,0,,,Male,sk - not sure what the last name is,,
4309,21,7,1,Days,0,0,0,,,,India Air force - suggested for you,,
4309,22,6,6,Hours,1,1,0,,Other,Male,Singh,,
4309,23,4,1,Days,1,1,0,,Hindu,Male,Mahapatra,,
4309,24,6,4,Hours,1,1,0,,Hindu,Male,Maurya,,
4309,25,5,1,Days,0,0,0,,,,ESPNcricinfo - suggested for you,,
4309,26,4,17,Hours,1,0,0,,Hindu,Male,Shukla,,
4309,27,6,2,Days,1,0,0,General,Hindu,Female,Sara Ali Khan,,
4309,28,4,1,Days,1,0,0,,Hindu,Male,Rajput,,
4309,29,7,3,Days,1,0,0,,Hindu,Male,Maurya,,
4309,30,2,20,Hours,1,0,0,,Hindu,Male,Ishak,,
4309,31,1,2,Days,1,0,0,,Hindu,Male,Maurya,,
4309,32,3,2,Days,1,0,0,,Hindu,Male,Maurya,,
4309,33,3,5,Days,0,0,0,,,,Penguin India,,
4309,34,7,1,Hours,1,1,0,,Hindu,Male,Manju,,
4309,35,7,6,Days,0,0,0,,,,Indian Football Team - For World Cup - Suggested for you,,
4309,36,3,9,Minutes,1,1,0,,Hindu,Male,Lalwani,,
4309,37,6,8,Hours,1,1,0,,Hindu,Female,Seth,,
