participant_id,order,familiarity (1-7),mutual_friends,caste_RA,religion_RA,gender,Notes,
2838,1,7,0,,Muslim,Male,Chaudhary,
2838,2,7,1,,Muslim,Male,Khan,
2838,3,6,0,,Muslim,Male,Siddiqui,
2838,4,1,0,,Muslim,Male,Siddiqui,
2838,5,7,0,,Muslim,Male,Abdullah,
2838,6,1,1,,Hindu,Male,Mali,
2838,7,4,4,,Muslim,Male,Mehdi,
2838,8,1,0,,Hindu,Male,Verma,
2838,9,7,4,,Hindu,Female,Pinge,
2838,10,5,2,,Hindu,Female,Garud,
2838,11,4,4,,Hindu,Female,Gupta,
2838,12,1,0,,Hindu,Female,Vish,
2838,13,1,0,,Hindu,Male,Chaudray,
2838,14,1,0,,Hindu,Female,Pawar,
2838,15,1,1,,Hindu,Male,Deekwana,
2838,16,5,2,,Hindu,Male,Mishra,
2838,17,1,3,,Hindu,Male,Rajput,
2838,18,1,0,,Muslim,Male,Khan,
2838,19,3,1,,Muslim,Female,Sayyed,
2838,20,1,0,,Hindu,Male,Kumar,
2838,21,2,0,,Muslim,Male,Ansari,
2838,22,2,2,,Other,Male,Singh,
2838,23,7,0,,Hindu,Male,Mangule,
2838,24,1,1,,Muslim,Male,Khan,
2838,25,6,1,,Muslim,Female,Siddiqui,
2838,26,6,3,,Hindu,Male,Patil,
2838,27,6,2,,Hindu,Female,Jejukar,
2838,28,5,2,,Muslim,Female,Sayyed,
2838,29,1,0,,Muslim,Male,Khan,
2838,30,3,3,,Hindu,Male,Yadav,
2838,31,1,0,,Muslim,Male,Arif,
2838,32,1,0,,Muslim,Male,Riyaj,
2838,33,2,1,,Hindu,Male,Yadav,
2838,34,1,0,,Other,Female,Singh,
2838,35,1,0,,Muslim,Male,Shah,
2838,36,1,0,,Hindu,Female,Kumari,
2838,37,1,0,,Muslim,Male,Khan,
2838,38,4,2,,Hindu,Female,Sharma,
2838,39,4,3,,Hindu,Male,Choudhary,
2838,40,1,0,,Muslim,Male,Unknown name in forgeign lang,
2838,41,1,0,Not Indian,Other,Female,David,
2838,42,1,0,,Hindu,Male,Kumar,
2838,43,5,3,,Hindu,Male,Gupta,
2838,44,5,2,,Hindu,Female,Yadav,
2838,45,1,0,,Muslim,Male,Amjad,
2838,46,1,0,,Hindu,Male,Chaudhry,
2838,47,1,0,,Muslim,Male,Khan,
2838,48,4,2,,Hindu,Male,Pandey,
2838,49,1,0,,Muslim,Male,Malik,
2838,50,1,0,,Hindu,Male,Deepak,
2838,51,1,0,,Muslim,Male,Ahmad,
2838,52,1,0,,Hindu,Male,Maurya,
2838,53,3,2,,Hindu,Male,Vishwakarma,
2838,54,1,0,,Hindu,Male,Kumar,
2838,55,1,0,,Muslim,Male,Ansari,
2838,56,1,0,,Hindu,Male,Mishra,
2838,57,1,0,,Hindu,Male,Kin,
2838,58,1,0,,Muslim,Male,Ali,
2838,59,1,0,,Hindu,Male,Shailendra,
2838,60,1,0,,Hindu,Male,Giri,
4309,1,7,7,,Muslim,Male,Shaikh,
4309,2,1,22,,Hindu,Male,Jadhav,
4309,3,5,6,,Hindu,Male,Gupta,
4309,4,7,8,,Hindu,Male,Maurya,
4309,5,2,22,,Hindu,Male,Maurya,
4309,6,3,4,,Hindu,Male,Jadhav,
4309,7,1,2,,Hindu,Male,Prajapati,
4309,8,5,14,,Hindu,Female,Arkade,
4309,9,1,3,,Hindu,Male,Tribhuvan,
4309,10,1,3,,Hindu,Female,Mishra,
4309,11,3,24,,Hindu,Male,Suryawanshi,
4309,12,1,4,,Hindu,Male,Maurya,
4309,13,7,11,,Hindu,Female,Shinde,
4309,14,1,12,,Hindu,Male,Tiwari,
4309,15,7,19,,Hindu,Male,Maurya,
4309,16,1,20,,Hindu,Male,Kadam,
4309,17,1,25,,Hindu,Male,Nanekar,
4309,18,1,16,,Hindu,Male,Saroj,
4309,19,1,16,,Hindu,Male,Rathod,
4309,20,5,7,,Hindu,Male,Khot,
4309,21,4,16,,Hindu,Male,Pote,
4309,22,1,7,,Hindu,Female,Lanjekar,
4309,23,1,18,,Hindu,Male,Maurya,
4309,24,1,3,,Hindu,Female,Maurya,
4309,25,1,4,,Hindu,Male,Raut,
4309,26,4,23,,Hindu,Female,Dilpak,
4309,27,2,8,,Hindu,Female,Gaikwad,
4309,28,2,16,,Hindu,Male,Gaud,
4309,29,2,5,,Hindu,Female,Rokade,
4309,30,1,13,,Hindu,Male,Gaikwad,
4309,31,7,7,,Hindu,Male,Gangurde,
4309,32,1,16,,Hindu,Male,Yadav,
4309,33,3,25,,Hindu,Male,Sargar,
4309,34,7,7,,Hindu,Male,Shirke,
4309,35,3,3,,Hindu,Male,Maurya,
4309,36,1,27,,Hindu,Male,Aran,
4309,37,7,3,,Hindu,Female,Kharade,
4309,38,1,5,,Hindu,Male,Rajak,
4309,39,1,14,,Hindu,Male,Dubey,
4309,40,3,8,,,Male,King - could be fake last name,
4309,41,3,5,,Muslim,Male,Ansari,
4309,42,1,30,,Hindu,Female,Thorat,
4309,43,1,21,,Hindu,Male,Kunbi,
4309,44,1,13,,Hindu,Male,Varma,
4309,45,1,3,,Hindu,Male,Saroj,
4309,46,1,16,,Hindu,Male,Dani,
4309,47,2,7,,Hindu,Male,Gupta,
4309,48,1,2,,Hindu,Male,Shukla,
4309,49,7,9,,Hindu,Male,Myhtri,
4309,50,1,16,,Hindu,Male,Pandey,
4309,51,1,8,,Hindu,Male,Kumar,
4309,52,1,15,,,Male,Elle - could be fake last name,
4309,53,1,4,,Hindu,Male,Mani,
4309,54,1,15,,Hindu,Male,Prajapati,
4309,55,1,4,,Hindu,Female,Sawant,
4309,56,2,6,,Hindu,Male,Maurya,
4309,57,2,34,,Other,Female,Singh,
4309,58,1,4,,Hindu,Male,Bhai,
4309,59,1,5,,Hindu,Male,Yadav,
4309,60,1,1,,Hindu,Male,Tiwari,
2185,1,7,64,,,Female,"Aman. Old Facebook, cant click on the profile",
2185,2,1,1,General,Hindu,Female,,
2185,3,1,17,,Other,Female,Brett,
2185,4,7,16,,Hindu,Female,Sushmi,
2185,5,1,69,,Hindu,Male,Kumar,
2185,6,1,5,General,Hindu,Male,Mukherjee,
2185,7,7,46,General,Hindu,Female,Srivastava,
2185,8,1,76,General,Hindu,Female,Mukherjee,
2185,9,7,6,,Hindu,Female,Mandal,
2185,10,1,0,General,Hindu,Female,Bhattacharjee,
2185,11,1,59,,Hindu,Female,Sahay,
2185,12,1,65,General,Hindu,Female,Sinha,
2185,13,7,188,General,Hindu,Female,Gopalakrishnan,
2185,14,1,24,General,Hindu,Male,Anand,
2185,15,7,2,General,Hindu,Female,Trivedi,
2185,16,1,1,,Hindu,Female,Ekka,
2185,17,1,110,,Other,Female,Paul,
2185,18,1,26,General,Hindu,Female,Pal,
2185,19,1,91,,Other,Male,Kujur,
2185,20,1,1,,Other,Female,Drozario,
2185,21,1,89,General,Other,Male,Jha,
2185,22,1,131,,Other,Female,Andrews,
2185,23,1,6,General,Hindu,Female,Sethia,
2185,24,7,2,General,Hindu,Male,Verma,
2185,25,7,79,General,Hindu,Female,Singh,
2185,26,7,105,General,Hindu,Male,Jain,
2185,27,1,22,General,Other,Female,Joseph,
2185,28,7,40,,Hindu,Female,Minj,
2185,29,7,52,Scheduled Tribes (ST),Hindu,Female,Minz,
2185,30,1,3,,Hindu,Female,Tirkey,
2185,31,1,63,General,Hindu,Female,Kashyap,
2185,32,1,35,,Hindu,Male,Laha,
2185,33,7,43,,Hindu,Female,Kujur,
2185,34,7,1,General,Hindu,Male,Ranjan,
2185,35,1,3,,Other,Female,Rozario,
2185,36,1,45,,Hindu,Female,Ekka,
2185,37,1,111,,Muslim,Female,Abid,
2185,38,1,17,General,Hindu,Male,Raj,
2185,39,1,49,,Other,Female,Ignatius,
2185,40,1,33,,Other,Male,Patra,
2185,41,1,0,General,Hindu,Female,Deep,
2185,42,1,55,,Hindu,Female,Kerketta,
2185,43,1,49,,Hindu,Female,Topno,
2185,44,1,25,General,Hindu,Female,Gill,
2185,45,7,16,General,Hindu,Female,Saha,
2185,46,7,0,,Other,Female,Swan,
2185,47,1,101,,Hindu,Male,Lakra,
2185,48,7,0,,Hindu,Female,Tiru,
2185,49,1,90,General,Hindu,Male,singh,
2185,50,1,43,,Hindu,Male,Kujur,
2185,51,1,37,,Other,Female,Gomes,
2185,52,1,2,General,Other,Male,Singh,
2185,53,7,2,,Hindu,Female,Kerketta,
2185,54,1,4,General,Hindu,Female,Ghosh,
2185,55,7,22,General,Hindu,Female,Rajan,
2185,56,7,24,,Hindu,Female,Tigga,
2185,57,1,1,General,Hindu,Male,Sinha,
2185,58,1,74,General,Hindu,Female,Gupta,
2185,59,7,211,,Muslim,Male,Haidri,
2185,60,1,4,,Other,Male,Wharton,
6306,1,1,2,,Hindu,Male,Ranjan,
6306,2,7,37,,Hindu,Female,Gupta,
6306,3,7,43,,Hindu,Female,Pandey,
6306,4,7,102,,Hindu,Female,Priyadarshini,
6306,5,1,3,,Other,Female,Jain,
6306,6,7,29,,Hindu,Male,Rampuria,
6306,7,5,9,,Hindu,Male,Nahar,
6306,8,7,17,,Hindu,Female,Bothra,
