participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,
5319,1,1,0,14,Hours,1,White,Female,,
5319,2,1,0,16,Days,0,,,,
5319,3,1,0,4,Days,1,White,Male,,
5319,4,1,0,13,Days,1,White,Male,,
5319,5,1,0,21,Days,1,Asian,Female,,
5319,6,1,0,23,Days,1,White,Female,,
5319,7,1,0,,,0,,,Tenure: 155 Days,
5319,8,0,0,63,Days,0,,,Participant saved the post,
5319,9,1,0,67,Days,1,White,Female,,
5319,10,1,0,67,Days,1,White,,,
3056,1,1,0,7,Days,1,Asian,Female,,
3056,2,1,0,13,Days,1,White,Female,,
3056,3,1,0,16,Days,1,White,Female,,
3056,4,1,0,17,Days,1,White,Female,,
3056,5,1,0,25,Days,1,White,Female,,
3056,6,1,0,27,Days,1,White,Female,,
3056,7,1,0,29,Days,1,Hispanic,Female,,
3056,8,1,0,30,Days,1,Hispanic,Male,,
3056,9,1,0,31,Days,1,White,Female,,
3056,10,1,0,32,Days,1,White,Female,,
3406,1,1,0,21,Hours,1,White,Female,,
3406,2,1,0,1,Days,1,Black or African American,Male,,
3406,3,1,0,19,Hours,1,Black or African American,Female,,
3406,4,0,1,1,Days,1,Black or African American,Male,Person C,
3406,5,1,0,3,Days,1,Black or African American,Female,,
3406,6,1,0,2,Days,1,Black or African American,Male,Person D,
3406,7,1,0,,,1,Black or African American,Male,Tenure: Post was from February 2011,
3406,8,1,0,1,Days,1,Black or African American,Male,Person D,
3406,9,0,1,1,Days,1,Black or African American,Male,Person C,
3406,10,0,1,1,Days,1,White,Male,,
2479,1,1,0,17,Hours,1,Black or African American,Female,,
2479,2,1,0,16,Hours,1,Black or African American,Male,,
2479,3,0,1,4,Days,1,Black or African American,Female,,
2479,4,1,0,1,Days,1,White,Female,,
2479,5,1,0,21,Hours,1,White,Female,Person A,
2479,6,1,0,20,Hours,1,White,Female,,
2479,7,1,1,8,Hours,1,White,Male,,
2479,8,1,0,1,Days,1,White,Female,,
2479,9,1,0,1,Days,1,Hispanic,Female,,
2479,10,1,0,1,Days,1,Black or African American,Female,,
