participant_id,order,preference (1-7),post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),event (y/n),race_RA_1,race_RA_2,gender,Mutual Friends (Tom Edit),Notes,
7615,1,6,20,Minutes,1,1,1,0,White,,Female,,,
7615,2,4,11,Hours,1,0,0,0,Asian,,Male,,,
7615,3,2,3,Days,1,0,0,0,Black or African American,,Female,,,
7615,4,5,19,Hours,0,0,0,0,,,,,,
7615,5,2,19,Hours,1,0,0,0,Hispanic,,Male,,,
7615,6,4,10,Hours,1,0,0,0,White,,Female,,,
7615,7,5,2,Days,1,0,0,0,White,,Male,,,
7615,8,4,1,Days,1,0,0,0,American Indian or Alaska Native,Hispanic,Female,,,
7615,9,2,3,Days,1,0,0,0,Hispanic,,Male,,,
7615,10,1,3,Days,1,0,0,0,American Indian or Alaska Native,Hispanic,Female,,,
7615,11,3,2,Days,1,0,0,0,White,,Male,,,
7615,12,3,17,Hours,0,0,0,0,,,,,,
7615,13,1,1,Days,1,0,0,0,Asian,,Female,,"Participant's aunt, for some reason the participant apologized that the post came up, seemingly out of embarrassment",
7615,14,6,59,Minutes,1,0,0,0,Black or African American,,Male,,Celebrity's Page,
7615,15,4,19,Hours,1,0,0,0,Asian,,Male,,,
7615,16,5,2,Days,1,0,0,0,White,,Male,,,
7615,17,2,18,Hours,1,0,0,0,Black or African American,,Female,,"""_____ was tagged""",
7615,18,2,1,Days,1,0,0,0,Hispanic,,Male,,,
7615,19,1,1,Days,1,0,0,0,White,,Male,,,
7615,20,7,9,Hours,1,0,1,0,White,,Male,,,
7615,21,1,12,Hours,1,1,0,0,White,,Female,,,
7615,22,1,13,Hours,1,1,0,0,White,,Female,,,
7615,23,1,1,Days,1,1,0,0,White,,Male,,,
7615,24,1,22,Hours,1,1,0,0,White,,Female,,,
7615,25,3,16,Hours,1,1,0,0,White,,Male,,,
7615,26,4,1,Days,1,0,0,0,Hispanic,,Male,,,
7615,27,6,1,Days,1,0,0,1,Black or African American,,Female,,,
7615,28,2,20,Hours,1,1,0,0,Asian,,Female,,,
7615,29,6,2,Days,1,0,1,0,White,,Male,,,
7615,30,5,1,Days,1,0,0,0,Hispanic,,Male,,,
7615,31,6,2,Days,1,0,0,0,Hispanic,,Male,,,
7615,32,2,1,Days,1,0,0,0,White,,Female,,,
7615,33,1,2,Days,1,0,0,0,Hispanic,,Male,,Shared Memory,
7615,34,1,2,Days,1,0,0,0,Hispanic,,Male,,"Triggering content for the participant; No new content was loading after this post, refreshed the page",
