RA_id,participant_id,date,study_start,study_end,subject_race_RA,subject_gender_RA,total_friends,Notes,study_about
TM,5319,10/20,11:57,12:37,White,Female,576,,"Thinks its interesting, just to see- especially since I took micro-econ, and tlaked about nothing is free. Seeing this research it really emphasizes that even though this site is free, they're taking this data from me and to keep me on it, and tailor sponsored content to me, this study shows how successful is at how facebook can feel out and compliment what a user is looking for, and coerce them to stay on their site longer."
JM,3056,10/20,12:29,,White,Female,"1,419",,Seeing how familiar people are with their friends on FB 
TM,3406,10/20,1:03,1:36,Black or African American,Female,"1,177",,Seems to be about analyzing orlooking at the algorithm for facebook posts. And also facebook activity.
TM,2479,10/20,2:01,2:30,Black or African American,Female,749,,"How much facebook monitors what you do. I know like for ads, the cater them to what you click, and I feel  like they do that with people as well. One person came up a lot because I interact with them a lot on FB, so FB shows me the people I interact with a lot. I have friends who ask me if I've seen their posts and I haven't cuz it hadn't shown up. BB is always watching."
JM,7299,10/21,11:22,11:47,Hispanic,Female,72,,"How people interact on social media, especially Facebook. "
JM,9029,10/21,12:17,12:54,Black or African American,Female,731,,Relationship with FB and how I interact with them. 
JM,2268,10/21,1:02,1:34,White,Male,"1,081",,Seeing what pops up on your newsfeed and who you interact with. 
JM,9683,10/21,2:04,2:33,Black or African American,Male,"2,048",,"To see how social media impacts my comments, likes and pages. "
JM,7366,10/21,3:05,3:26,White,Non-binary,340,,How good Facebook is at showing people what they want to see. 
JM,7353,10/22,11:03,11:31,White,Female,788,,How FB works in showing favorite content. 
JM,6579,10/22,1:09,1:28,Asian,Male,826,,How active someone is on facebook in relation to someone's news feed. Want to see how FB's algorithm is working. 
JM,3204,10/22,2:04,2:33,Hispanic,Female,"1,071",,Knowing your experience with with Facebook and how people like and share information. 
JM,5822,10/22,3:02,3:23,White,Female,583,,Trying to see if people are actually interested in the information presented on FB. Are you interacting with strangers or familiar content more?
JM,8865,10/23,11:03,11:25,White,Female,194,,Interactions on Facebook and how much we like posts. 
JM,5844,10/23,12:05,12:41,Black or African American,Female,"1,218",,"How to see how I would react to posts, to see if they would trigger me if anything. "
TM,6573,10/24,11:05,11:41,White,Male,530,,"What fb markets to you on your NF to each individual, and what fb thinks you would be interested in based on the activity that you've done."
JM,8097,10/24,12:00,12:44,Black or African American,Male,768,,To gain a perspective to see how people view their activity on FB. 
TM,3141,10/24,12:03,12:29,Black or African American,Female,349,,"I dont know. I was trying to think about it, I guess that you said its about how accurate the algorythm chooses. but sometimes wha you say isnt what the study is about. I guess i would say what you said since it did seem to be what the study was about."
TM,5363,10/24,1:00,1:33,White,Non-binary,908,,"I think its about how accurate sm algoritms are in showing you content you actually want, and possibly how that relates to advertising and marketing in some way."
JM,3817,10/24,1:02,1:28,White,Female,385,,Whether or not FB's algorithms cater to my interests. 
JM,1736,10/24,2:02,2:24,Asian,Male,1631,,Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1 
TM,6258,10/24,3:00,3:26,Black or African American,Male,"4,950",,"porbably like you said, itsabout judging interactions and how the algorithm relates with my mood, how i react to the post and interact with the posts."
JM,6947,10/24,3:02,,Black or African American,Female,206,,1
TM,8823,10/27,10:58,11:26,White,Male,"1,178",,Probably seeing how well the FB algorithm generates interaction. Seeing the connection between our algorithm and the stuff we're actually interacting with. You can definitely see that the music groups i interact with for work have influenced what the algorithm chooses to show me.
TM,5481,10/27,12:56,1:22,White,Male,508,,"My use on FB and how posts get shown to me, and what types of posts get shown to me based on the activity I've done. So like you said, the algorithm. It seems i like a lot of wedding photos and baby pics, and so that's what FB shows me."
JM,8406,10/27,1:06,1:35,Asian,Female,435,,About how often people go on FB and what frequency do you look at posts/react to them. How often do you react to posts with friends vs. family. 
JM,5222,10/28,11:02,11:31,White,Female,"1,613",,Study on how people interact with each other on Facebook and express their preferences. 
TM,9293,10/28,11:59,12:07,White,Female,6,Inelligible to participate,
JM,8499,10/28,12:03,12:27,White,Female,391,,If people were satisfied with the feed. 
TM,2526,10/28,12:56,1:25,Hispanic,Female,322,,"I dont know, like maybe to see the correlation to how often someone reacts to something and how often something shows up on their feed. "
JM,1744,10/28,2:02,2:23,Asian,Female,"2,043",,How much political stuff we see on our feed. 
TM,4409,10/28,2:03,12:40,Asian,Female,495,,"Its about interactions on FB (lol) and I don't know... (took a second to think) Maybe like whether there is a relationship between my activity with real people and whether they are more likely to show up in my feed, and also whether if we have more mutual friends that affects my rating of the post, or that if I interact with posts more often those kinds of posts will show more often. I do feel like that things show up in waves, that like some days a person shows up frequently but others they arent there, even though after I check they are still posting regularly."
TM,8245,10/28,2:55,3:20,Asian,Female,367,,Its about our behaviourt on socila media and how the algorithm interprets our actions on social media.
JM,2390,10/28,3:02,3:23,White,Female,649,,The amount of useless information facebook shows vs useful information. 
JM,5146,10/29,12:01,12:32,White,Female,"1,180",,Something to do with how we socially interact with people who we know or dont know. 
