"","participant.id","nf.order","preference","post.tenure","tenure.units","human","nf.group","event","poster.nf.caste.ra","poster.nf.religion.ra","poster.nf.gender","nf.ra.notes","RA_id","date","study_start","study_end","subject_caste_RA","subject_religion_RA","subject_gender_RA","total_friends","Participant.State.of.Origin","Smartphone..y.n.","Notes","X","religion.in.group","gender.in.group"
"1",1117,2,5,"30","Minutes",1,0,0,"","","female","Nischal","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE
"2",1117,1,2,"1","Days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE
"3",1117,6,5,"1","Days",1,0,0,"","hindu","female","Tripathy","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE
"4",1117,3,4,"18","Minutes",0,0,0,"","","","","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
"5",1117,4,7,"27","Minutes",0,0,0,"","","","suggested for you","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
"6",1117,5,7,"19","Hours",0,0,0,"","","","","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
"7",1117,14,7,"10","Hours",1,1,0,"","muslim","male","Khan","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
"8",1117,15,2,"4","Days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE
"9",1117,16,1,"3","Days",1,0,0,"","","male","no last name","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
"10",1117,17,1,"1","Days",1,0,0,"","other","female","Singh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE
"11",1117,18,2,"2","Days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE
"12",1117,19,7,"22","Hours",0,0,0,"","","","suggested for you","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE
