"","primary.id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","self.race","self.race.free","gender","age","education","covid.usage","pre.covid.usage","last.login","Q13","Q13_38_TEXT","subject_id","date","subject_gender_RA","subject_religion_RA"
"1",1117,"2020-09-02 00:03:23","2020-09-02 00:09:05","IP Address","157.42.183.18",100,342,"True","2020-09-02 00:09:05","R_3dM4lgFperxfbxQ",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","cdr","Other Backward Classes (OBC)","Hindu","Female",23,"Professional degree","A few times an hour","A few times an hour","Within the past hour","Jharkand","",1117,2020-09-02,"female","hindu"
"2",1128,"2020-09-03 23:30:10","2020-09-03 23:33:48","IP Address","122.179.47.32",100,218,"True","2020-09-03 23:33:49","R_3KOfsocyrTPqeYi",NA,NA,NA,NA,12.9718933105469,77.5936889648438,"anonymous","EN","Yes, I consent to participate","cdr","General","Hindu","Male",34,"Master's degree","A few times a month","A few times a year","Within the past week","Karnataka","",1128,2020-09-03,"male","hindu"
"3",1136,"2020-08-26 05:49:22","2020-08-26 05:52:46","IP Address","49.36.133.161",100,203,"True","2020-08-26 05:52:46","R_V1Kd7h2kAujf91n",NA,NA,NA,NA,28.6504058837891,77.2372131347656,"anonymous","EN","Yes, I consent to participate","CDR","General","Hindu","Male",23,"Bachelor's degree","A few times a week","A few times a day","Within the past week","Delhi","",1136,2020-08-26,"male","hindu"
"4",1174,"2020-09-04 01:31:29","2020-09-04 01:33:30","IP Address","36.255.228.101",100,121,"True","2020-09-04 01:33:31","R_1hJWANZAPUKIEr3",NA,NA,NA,NA,26.8392944335938,80.923095703125,"anonymous","EN","Yes, I consent to participate","CDR","General","Hindu","Male",18,"Currently in a diploma or bachelor's program","A few times a day","A few times a week","Within the past hour","Uttar Pradesh","",1174,2020-09-04,"male","hindu"
"5",1219,"2020-09-04 05:02:00","2020-09-04 05:07:46","IP Address","45.248.29.14",100,346,"True","2020-09-04 05:07:46","R_r9zgoYLe7aKMBZT",NA,NA,NA,NA,28.6327056884766,77.2197875976562,"anonymous","EN","Yes, I consent to participate","CDR","General","Hindu","Male",20,"Currently in a diploma or bachelor's program","A few times a day","A few times a day","Within the past hour","Delhi","",1219,2020-09-04,"male","hindu"
"6",1325,"2020-09-06 01:10:11","2020-09-06 01:12:05","IP Address","157.35.241.198",100,114,"True","2020-09-06 01:12:06","R_PwESROzG1UmSZvb",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","cdr","Other Backward Classes (OBC)","Hindu","Male",18,"Bachelor's degree","A few times a month","A few times a month","Within the past hour","Jharkand","",1325,2020-09-06,"male","hindu"
"7",1327,"2020-08-28 06:02:36","2020-08-28 06:08:40","IP Address","47.9.223.188",100,363,"True","2020-08-28 06:08:40","R_RKPOjJnEoLneXGV",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","cdr","Other Backward Classes (OBC)","Hindu","Female",19,"3","A few times a day","A few times a day","Within the past hour","Bihar","",1327,2020-08-28,"female","hindu"
"8",1383,"2020-08-30 23:58:44","2020-08-31 00:01:44","IP Address","106.210.101.71",100,180,"True","2020-08-31 00:01:44","R_3fZeSEmCPPW2QiU",NA,NA,NA,NA,28.6519012451172,77.2315063476562,"anonymous","EN","Yes, I consent to participate","cdr","General","Christian","Female",21,"Bachelor's degree","A few times a month","A few times a month","Within the past week","Delhi","",1383,2020-08-30,"female","hindu"
"9",1397,"2020-09-02 04:36:44","2020-09-02 04:38:42","IP Address","47.9.218.181",100,118,"True","2020-09-02 04:38:43","R_2VvuN2aZjIMh7rQ",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","cdr","General","Hindu","Male",26,"Bachelor's degree","A few times a week","A few times a week","Within the past hour","Jharkand","",1397,2020-09-02,"male","hindu"
"10",1433,"2020-08-27 03:29:12","2020-08-27 03:32:04","IP Address","157.42.24.39",100,171,"True","2020-08-27 03:32:04","R_2fvdGLducAWcNfS",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","cdr","Other Backward Classes (OBC)","Hindu","Female",24,"Bachelor's degree","A few times an hour","A few times a day","Within the past hour","Jharkand","",1433,2020-08-27,"female","hindu"
"11",1471,"2020-09-02 06:20:19","2020-09-02 06:23:31","IP Address","152.56.157.130",100,192,"True","2020-09-02 06:23:32","R_3PaxMD1ciKGePTt",NA,NA,NA,NA,25.5908050537109,85.1347961425781,"anonymous","EN","Yes, I consent to participate","CDR","Scheduled Castes (SC)","Hindu","Male",24,"Bachelor's degree","A few times a day","A few times a day","Within the past day","Jharkand","",1471,2020-09-02,"male","hindu"
"12",1589,"2020-09-14 22:34:57","2020-09-14 22:39:01","IP Address","42.111.93.29",100,243,"True","2020-09-14 22:39:01","R_1gHhjHHCpMt0HSp",NA,NA,NA,NA,28.6519012451172,77.2315063476562,"anonymous","EN","Yes, I consent to participate","CDR","Scheduled Castes (SC)","Muslim","Male",22,"Graduated high school","A few times an hour","A few times an hour","Within the past hour","Delhi","",1589,2020-09-14,"male","muslim"
"13",1596,"2020-08-27 01:49:13","2020-08-27 01:51:37","IP Address","27.106.114.249",100,144,"True","2020-08-27 01:51:38","R_3fMP1V9ktPKEIje",NA,NA,NA,NA,15.3957977294922,73.8157043457031,"anonymous","EN","Yes, I consent to participate","cdr","General","Hindu","Male",20,"Bachelor's degree","A few times a day","A few times a day","Within the past hour","Goa","",1596,2020-08-27,"male","hindu"
"14",1598,"2020-08-26 22:33:44","2020-08-26 22:38:01","IP Address","139.167.38.174",100,257,"True","2020-08-26 22:38:01","R_3C8Z7Ooz3Wz0ZX3",NA,NA,NA,NA,28.6331024169922,77.220703125,"anonymous","EN","Yes, I consent to participate","cdr","General","Hindu","Male",29,"Master's degree","A few times a month","A few times a year","Within the past day","Uttarakhand","",1598,2020-08-26,"male","hindu"
"15",1653,"2020-09-16 22:38:38","2020-09-16 22:45:59","IP Address","27.61.221.122",100,441,"True","2020-09-16 22:46:00","R_3iUObFSe0UN0K6w",NA,NA,NA,NA,23.0276031494141,72.5870971679688,"anonymous","EN","Yes, I consent to participate","cdr","General","Muslim","Male",18,"Did not graduate high school","A few times a week","A few times a day","Within the past day","Gujarat","",1653,2020-09-16,"male","muslim"
"16",1678,"2020-09-07 00:07:23","2020-09-07 00:11:00","IP Address","157.49.154.253",100,217,"True","2020-09-07 00:11:00","R_6Fr9kubw5yTerVT",NA,NA,NA,NA,12.9718933105469,77.5936889648438,"anonymous","EN","Yes, I consent to participate","CDR","General","Hindu","Female",18,"Currently in a diploma or bachelor's program","A few times a week","A few times a year","Within the past week","Uttar Pradesh","",1678,2020-09-07,"female","hindu"
"17",1688,"2020-09-11 06:08:24","2020-09-11 06:14:49","IP Address","103.21.52.170",100,385,"True","2020-09-11 06:14:50","R_1gtDBv15vNmA0ac",NA,NA,NA,NA,22.7165069580078,75.8307037353516,"anonymous","EN","Yes, I consent to participate","CDR","General","Muslim","Male",20,"Graduated high school","A few times a day","A few times a day","Within the past hour","Maharashtra","",1688,2020-09-11,"male","muslim"
