"","participant_id","source","RA_id","date","study_start","study_end","subject_race_RA","subject_gender_RA","total_friends","Notes","manual_diag.x","study_about","recent.order","react","comment","post_tenure","tenure_units","human","poster.recent.race","poster.recent.gender","manual_diag.y","notes","race.in.group","gender.in.group"
"1","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",1,1,0,9,"Days",1,"white","female","",NA,FALSE,FALSE
"2","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",2,1,0,10,"Days",1,"white","female","",NA,FALSE,FALSE
"3","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",3,1,0,13,"Days",1,"white","female","",NA,FALSE,FALSE
"4","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",4,1,0,16,"Days",1,"asian","female","",NA,TRUE,FALSE
"5","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",5,1,0,17,"Days",1,"asian","female","",NA,TRUE,FALSE
"6","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",6,1,0,18,"Days",1,"asian","female","",NA,TRUE,FALSE
"7","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",7,1,0,18,"Days",1,"asian","female","",NA,TRUE,FALSE
"8","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",8,1,0,18,"Days",1,"hispanic","male","",NA,FALSE,TRUE
"9","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",9,1,0,20,"Days",1,"asian","female","",NA,TRUE,FALSE
"10","1736","CDR 4","JM","10/24","2:02","2:24","asian","male",1631,"",0,"Seeing if the feed is tailored to the type of content I like to see and ppl that I want to see updates of. Also how my activity aligns with what I recorded in Pt. 1",10,1,0,21,"Days",1,"asian","female","",NA,TRUE,FALSE
