"","primary.id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","self.race","self.race.free","gender","age","education","covid.usage","pre.covid.usage","last.login","subject_id","manual_diag","date","subject_gender_RA","subject_race_RA","source","total_friends","recorded.posts","mean.rating","sd.rating","median.rating","pymk.recorded.posts","pymk.mean.rating","pymk.sd.rating","pymk.median.rating"
"1","2020-04-235139","2020-04-23 14:02:40","2020-04-23 14:04:33","IP Address","73.36.161.195",100,112,"True","2020-04-23 14:04:33","R_oZTWr2AUwIvcqJj",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese/Asian.","Male",23,"Bachelor's degree","A few times a week","A few times a month","Within the past day",5139,0,2020-04-23,"male","asian","CDR 1",186,37,3.51351351351351,1.93823547505373,3,60,2.9,1.6844251647352,3
"2","2020-04-23564999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","asian","CDR 1",177,60,3.03333333333333,1.85916572019313,2.5,60,2.88333333333333,2.33682144445759,2
"3","2020-04-238051","2020-04-23 12:32:28","2020-04-23 12:34:03","IP Address","98.253.99.227",100,95,"True","2020-04-23 12:34:03","R_2zGY6r43tD7yHg8",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese","Female",23,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",8051,0,2020-04-23,"female","asian","CDR 1",1183,60,3.86666666666667,1.75119007154183,3,60,2.68333333333333,2.54779177678497,1
"4","2020-04-242393","2020-04-24 14:03:03","2020-04-24 14:04:34","IP Address","207.181.207.41",100,91,"True","2020-04-24 14:04:35","R_3P52AdLeeHQ5oZQ",NA,NA,NA,NA,41.8972015380859,-87.6195983886719,"anonymous","EN","Yes, I consent to participate","cdr","White","White, Caucasian","Male",29,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",2393,0,2020-04-24,"male","white","CDR 1",1429,60,3.43333333333333,1.83530966921686,3.5,60,2.96666666666667,1.92192229570669,3
"5","2020-04-242762","2020-04-24 12:21:48","2020-04-24 12:24:34","IP Address","98.227.156.192",100,166,"True","2020-04-24 12:24:35","R_1OGMQ9ONTGJP4OS",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","White","Jewish - Israeli","Male",34,"Bachelor's degree","A few times a day","A few times a day","Within the past day",2762,0,2020-04-24,"male","white","CDR 1",298,60,2.65,1.4476749330787,2.5,60,1.43333333333333,0.810245132747641,1
"6","2020-04-245424","2020-04-24 11:01:50","2020-04-24 11:04:58","IP Address","67.184.120.137",100,188,"True","2020-04-24 11:04:59","R_Tu78C6WjfebIotX",NA,NA,NA,NA,41.8972015380859,-87.6195983886719,"anonymous","EN","Yes, I consent to participate","cdr","White","Caucasian","Male",29,"Professional degree","A few times a month","A few times a year","Within the past week",5424,0,2020-04-24,"male","white","CDR 1",702,60,3.56666666666667,2.38189973082068,3,60,3.13333333333333,2.58067568780924,2
"7","2020-04-274179","2020-04-27 14:05:02","2020-04-27 14:07:41","IP Address","162.234.12.195",100,159,"True","2020-04-27 14:07:42","R_3KAwQQpHHR6DMrJ",NA,NA,NA,NA,41.7619934082031,-87.5702972412109,"anonymous","EN","Yes, I consent to participate","cdr","White","White, American","Female",21,"Some college, no degree","A few times an hour","A few times a day","Within the past day",4179,0,2020-04-27,"female","white","CDR 1",799,36,2.86111111111111,1.19887513415768,3,60,2.16666666666667,1.36750009037482,2
"8","2020-04-274179-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","white","CDR 1",799,60,3.20833333333333,1.10253331475513,3,NA,NA,NA,NA
"9","2020-04-274368","2020-04-27 12:32:47","2020-04-27 12:35:21","IP Address","205.208.121.85",100,153,"True","2020-04-27 12:35:21","R_sOlzWYEFY0c7nxf",NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","I would identify myself as white. I guess officially my ethnicity is Ashkenazi Jewish","Non-binary",26,"Bachelor's degree","A few times an hour","A few times a day","Within the past hour",4368,0,2020-04-27,"female","white","CDR 1",881,19,3.05263157894737,1.840099158274,3,60,2.18333333333333,1.42009389360939,2
"10","2020-04-274368-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","white","CDR 1",881,59,4.1,1.80881034710521,4,NA,NA,NA,NA
"11","2020-04-274532","2020-04-27 12:30:08","2020-04-27 12:32:36","IP Address","73.110.104.224",100,148,"True","2020-04-27 12:32:37","R_2wiE9B2ksIA3qem",NA,NA,NA,NA,41.8040008544922,-87.7070007324219,"anonymous","EN","Yes, I consent to participate","cdr","Other","It's complicated - I am a lot of things and prefer to check the other box.","Female",37,"Master's degree","A few times a day","A few times a day","Within the past hour",4532,0,2020-04-27,"female","hispanic","CDR 1",375,60,1.58333333333333,1.02991963923252,1,60,2.98333333333333,1.5458162965239,3
"12","2020-04-274732","2020-04-27 11:07:24","2020-04-27 11:08:59","IP Address","70.231.114.37",100,95,"True","2020-04-27 11:09:00","R_6SG6TSecS6Ya6BP",NA,NA,NA,NA,36.1788940429688,-86.8034973144531,"anonymous","EN","Yes, I consent to participate","CDR","White","i am caucasian and of irish descent","Female",44,"Bachelor's degree","A few times a day","A few times a week","Within the past day",4732,0,2020-04-27,"female","white","CDR 1",126,60,5.33333333333333,1.58024527882318,6,60,3.05,1.78909123792699,3
"13","2020-04-277271","2020-04-27 13:58:32","2020-04-27 14:00:08","IP Address","98.228.108.212",100,95,"True","2020-04-27 14:00:08","R_2eR92BPf9ajjOz6",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","cdr","Asian","I identify myself as Asian American. ","Female",39,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",7271,0,2020-04-27,"female","asian","CDR 1",947,60,3.71666666666667,1.67829278335655,3,60,1.93333333333333,1.58238895416389,1
