"","primary.id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","self.race","self.race.free","gender","age","education","covid.usage","pre.covid.usage","last.login","subject_id","date","subject_gender_RA","subject_race_RA"
"1","2020-04-235139","2020-04-23 14:02:40","2020-04-23 14:04:33","IP Address","73.36.161.195",100,112,"True","2020-04-23 14:04:33","R_oZTWr2AUwIvcqJj",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese/Asian.","Male",23,"Bachelor's degree","A few times a week","A few times a month","Within the past day",5139,2020-04-23,"male","asian"
"2","2020-04-235649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","asian"
"3","2020-04-238051","2020-04-23 12:32:28","2020-04-23 12:34:03","IP Address","98.253.99.227",100,95,"True","2020-04-23 12:34:03","R_2zGY6r43tD7yHg8",NA,NA,NA,NA,41.7821044921875,-87.6045989990234,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Chinese","Female",23,"Bachelor's degree","A few times a day","A few times a week","Within the past hour",8051,2020-04-23,"female","asian"
"4","2020-04-242393","2020-04-24 14:03:03","2020-04-24 14:04:34","IP Address","207.181.207.41",100,91,"True","2020-04-24 14:04:35","R_3P52AdLeeHQ5oZQ",NA,NA,NA,NA,41.8972015380859,-87.6195983886719,"anonymous","EN","Yes, I consent to participate","cdr","White","White, Caucasian","Male",29,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",2393,2020-04-24,"male","white"
"5","2020-04-242762","2020-04-24 12:21:48","2020-04-24 12:24:34","IP Address","98.227.156.192",100,166,"True","2020-04-24 12:24:35","R_1OGMQ9ONTGJP4OS",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","White","Jewish - Israeli","Male",34,"Bachelor's degree","A few times a day","A few times a day","Within the past day",2762,2020-04-24,"male","white"
"6","2020-04-245424","2020-04-24 11:01:50","2020-04-24 11:04:58","IP Address","67.184.120.137",100,188,"True","2020-04-24 11:04:59","R_Tu78C6WjfebIotX",NA,NA,NA,NA,41.8972015380859,-87.6195983886719,"anonymous","EN","Yes, I consent to participate","cdr","White","Caucasian","Male",29,"Professional degree","A few times a month","A few times a year","Within the past week",5424,2020-04-24,"male","white"
"7","2020-04-274179","2020-04-27 14:05:02","2020-04-27 14:07:41","IP Address","162.234.12.195",100,159,"True","2020-04-27 14:07:42","R_3KAwQQpHHR6DMrJ",NA,NA,NA,NA,41.7619934082031,-87.5702972412109,"anonymous","EN","Yes, I consent to participate","cdr","White","White, American","Female",21,"Some college, no degree","A few times an hour","A few times a day","Within the past day",4179,2020-04-27,"female","white"
"8","2020-04-274179-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","white"
"9","2020-04-274368","2020-04-27 12:32:47","2020-04-27 12:35:21","IP Address","205.208.121.85",100,153,"True","2020-04-27 12:35:21","R_sOlzWYEFY0c7nxf",NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes, I consent to participate","cdr","White","I would identify myself as white. I guess officially my ethnicity is Ashkenazi Jewish","Non-binary",26,"Bachelor's degree","A few times an hour","A few times a day","Within the past hour",4368,2020-04-27,"female","white"
"10","2020-04-274368-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","white"
"11","2020-04-274532","2020-04-27 12:30:08","2020-04-27 12:32:36","IP Address","73.110.104.224",100,148,"True","2020-04-27 12:32:37","R_2wiE9B2ksIA3qem",NA,NA,NA,NA,41.8040008544922,-87.7070007324219,"anonymous","EN","Yes, I consent to participate","cdr","Other","It's complicated - I am a lot of things and prefer to check the other box.","Female",37,"Master's degree","A few times a day","A few times a day","Within the past hour",4532,2020-04-27,"female","hispanic"
"12","2020-04-274732","2020-04-27 11:07:24","2020-04-27 11:08:59","IP Address","70.231.114.37",100,95,"True","2020-04-27 11:09:00","R_6SG6TSecS6Ya6BP",NA,NA,NA,NA,36.1788940429688,-86.8034973144531,"anonymous","EN","Yes, I consent to participate","CDR","White","i am caucasian and of irish descent","Female",44,"Bachelor's degree","A few times a day","A few times a week","Within the past day",4732,2020-04-27,"female","white"
"13","2020-04-277271","2020-04-27 13:58:32","2020-04-27 14:00:08","IP Address","98.228.108.212",100,95,"True","2020-04-27 14:00:08","R_2eR92BPf9ajjOz6",NA,NA,NA,NA,41.9459991455078,-87.7033004760742,"anonymous","EN","Yes, I consent to participate","cdr","Asian","I identify myself as Asian American. ","Female",39,"Bachelor's degree","A few times a day","A few times a day","Within the past hour",7271,2020-04-27,"female","asian"
"14","2020-04-282946","2020-04-28 13:46:43","2020-04-28 13:48:31","IP Address","98.223.127.85",100,107,"True","2020-04-28 13:48:31","R_re9PQ7u9Urs5lL3",NA,NA,NA,NA,41.8731994628906,-88.0001983642578,"anonymous","EN","Yes, I consent to participate","cdr","White","White","Female",18,"Some college, no degree","A few times a day","A few times a day","Within the past day",2946,2020-04-28,"female","white"
"15","2020-04-286598","2020-04-28 12:17:28","2020-04-28 12:20:23","IP Address","108.240.125.212",100,174,"True","2020-04-28 12:20:23","R_2bVP3O3uhevBLO6",NA,NA,NA,NA,41.6349029541016,-87.4626998901367,"anonymous","EN","Yes, I consent to participate","cdr","Black or African American","African American is a widely known and accepted face as with all other races and ethnicities. Some will embrass it fully and others will have not good things to say about it. Generally, it is for classification purposes. I have no issues with it","Male",37,"Some college, no degree","A few times a day","A few times an hour","Within the past hour",6598,2020-04-28,"male","black or african american"
"16","2020-04-293437","2020-04-29 13:41:05","2020-04-29 13:42:17","IP Address","71.105.132.81",100,71,"True","2020-04-29 13:42:17","R_ZkqEoK4OBwluLBv",NA,NA,NA,NA,40.7653045654297,-73.9589004516602,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Indian","Female",20,"Some college, no degree","A few times a day","A few times an hour","Within the past hour",3437,2020-04-29,"female","asian"
"17","2020-04-294668","2020-04-29 12:14:49","2020-04-29 13:06:41","IP Address","73.75.44.41",100,3111,"True","2020-04-29 13:06:41","R_1QN7Tg2a2i7PQuQ",NA,NA,NA,NA,41.8018035888672,-87.5992965698242,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian. Chinese. Han Chinese.","Male",20,"Some college, no degree","A few times a month","A few times a year","Within the past week",4668,2020-04-29,"male","asian"
"18","2020-04-295906","2020-04-29 11:01:25","2020-04-29 11:03:32","IP Address","76.16.99.186",100,127,"True","2020-04-29 11:03:33","R_3kjKyjbUHRjDUEA",NA,NA,NA,NA,41.9214935302734,-87.6445999145508,"anonymous","EN","Yes, I consent to participate","CDR","Asian","Asian American, Chinese","Male",24,"Bachelor's degree","A few times an hour","A few times an hour","Within the past hour",5906,2020-04-29,"non-binary","asian"
"19","2020-04-297463","2020-04-29 12:34:01","2020-04-29 12:37:15","IP Address","205.178.50.163",100,193,"True","2020-04-29 12:37:15","R_3FX0vfrH54Y74Gq",NA,NA,NA,NA,41.9031982421875,-87.638298034668,"anonymous","EN","Yes, I consent to participate","cdr","White","white, Russian roots, jewish","Male",55,"Master's degree","A few times a year","A few times a year","Within the past year",7463,2020-04-29,"male","white"
"20","2020-04-298574","2020-04-29 14:03:34","2020-04-29 14:06:07","IP Address","64.53.248.21",100,153,"True","2020-04-29 14:06:08","R_1cSSj0RrIeIJhEH",NA,NA,NA,NA,42.0128021240234,-88.0967025756836,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Mongolian, Asian
I usually just mark ""Asian""","Male",22,"Some college, no degree","A few times a day","A few times a week","Within the past hour",8574,2020-04-29,"male","asian"
"21","2020-04-301583","2020-04-30 12:27:32","2020-04-30 12:28:23","IP Address","98.144.130.119",100,51,"True","2020-04-30 12:28:24","R_1LunZ3EhnVSyepm",NA,NA,NA,NA,43.0648040771484,-88.0944976806641,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Korean American","Male",20,"Some college, no degree","A few times a day","A few times a day","Within the past hour",1583,2020-04-30,"male","asian"
"22","2020-04-307231","2020-04-30 13:54:06","2020-04-30 13:55:15","IP Address","68.73.115.77",100,69,"True","2020-04-30 13:55:15","R_2pSsSR69QbVTugp",NA,NA,NA,NA,35.8963928222656,-78.7115020751953,"anonymous","EN","Yes, I consent to participate","cdr","Asian","Asian Indian","Female",26,"Bachelor's degree","A few times a week","A few times a month","Within the past week",7231,2020-04-30,"female","asian"
"23","2020-04-309519","2020-04-30 11:02:57","2020-04-30 11:05:13","IP Address","108.27.20.65",100,136,"True","2020-04-30 11:05:14","R_3eqxyoCMlahcQNz",NA,NA,NA,NA,40.7890014648438,-73.7261962890625,"anonymous","EN","Yes, I consent to participate","cdr","White","Always respond white, but I am Jewish and consider Judaism an ethnicity","Male",22,"Bachelor's degree","A few times a day","A few times a day","Within the past day",9519,2020-04-30,"male","white"
