"","user_age","clean_edu","user_frequency","user_genre","genre.match","rating.y","rec_gender","rec_race","clicked","race.simple.f","user_gender","user_id","in.group.lax","prediction.slow","rank.slow"
"1",37,"more.than.bachelors","Several times a week","Drama",0,9,"Male","White",0,"Black","Male","vCCucKLH0Q",TRUE,0.4328,9
"2",51,"more.than.bachelors","Once a year","Historical",0,9,"Male","White",1,"White","Male","B8ujQMDd2W",TRUE,0.2888,5
"3",31,"bachelors","Several times a week","Action and adventure",1,9,"Female","White",0,"Black","Male","Qivfv2KpmG",FALSE,0.522,1
"4",20,"less.than.bachelors","Several times a month","Animation",0,9,"Male","White",0,"White","Male","fVLp9M3k3r",TRUE,0.0612,29
"5",21,"less.than.bachelors","Several times a week","Action and adventure",1,9,"Male","White",0,"White","Male","10ELmTCYUG",TRUE,0.02,13
"6",19,"less.than.bachelors","Every day","Horror",0,9,"Male","White",1,"Hispanic","Female","TZYgVnAiFa",FALSE,0.1176,14
"7",37,"less.than.bachelors","Several times a week","Science Fiction",1,9,"Male","Hispanic",0,"White","Male","BcCAmKpGeN",TRUE,0.4768,4
"8",29,"less.than.bachelors","Several times a month","Comedy",0,9,"Female","White",1,"Hispanic","Female","MWexoaWxVd",TRUE,0.0396,19
"9",21,"less.than.bachelors","Once a month","Action and adventure",1,9,"Male","White",0,"Hispanic","Female","Kj6SjScvuE",FALSE,0.1712,16
"10",22,"bachelors","Several times a month","Drama",0,9,"Male","Hispanic",0,"White","Female","RBhcyf0fDN",FALSE,0.0216,15
"11",40,"more.than.bachelors","Several times a week","Science Fiction",1,9,"Male","Black",1,"White","Male","4Lv1d3jSEl",TRUE,0.764,1
"12",29,"bachelors","Several times a month","Comedy",0,9,"Male","White",1,"Hispanic","Female","r0N3HWgw1m",FALSE,0.1216,22
"13",21,"less.than.bachelors","Once a month","Comedy",0,9,"Male","White",0,"Hispanic","Female","gkVGwGRavB",FALSE,0.0012,35
"14",32,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Female","Hispanic",1,"Black","Male","d8XHk4gc2u",FALSE,0.3104,2
"15",19,"less.than.bachelors","Every day","Action and adventure",1,9,"Male","White",1,"Black","Female","Me00lcumk0",FALSE,0.622,4
"16",30,"more.than.bachelors","Several times a month","Comedy",0,9,"Male","Hispanic",0,"White","Female","gI2DyMUySJ",FALSE,0.274,2
"17",48,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Female","White",1,"White","Male","NhkKrM6zoT",TRUE,0.4756,1
"18",31,"bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"Black","Male","eGPuYQYQUk",TRUE,0.5292,1
"19",48,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Female","Hispanic",1,"White","Male","R97CTCzWKK",FALSE,0.4,5
"20",38,"more.than.bachelors","Several times a week","Action and adventure",1,9,"Male","Hispanic",1,"White","Male","SpYP1WieA5",TRUE,0.812,1
"21",18,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"White","Female","dT5gjvvKNp",TRUE,0,15
"22",30,"more.than.bachelors","Several times a month","Action and adventure",1,9,"Female","White",1,"Black","Male","DPIVbuJVgw",FALSE,0.0716,2
"23",23,"less.than.bachelors","Several times a week","Other",0,9,"Female","White",0,"Hispanic","Male","dU3mraKUfC",FALSE,0.2232,15
"24",21,"less.than.bachelors","Several times a month","Comedy",0,9,"Female","White",1,"White","Female","uTnjwZvZpJ",TRUE,0.0104,19
"25",21,"less.than.bachelors","Several times a month","Other",0,9,"Female","White",1,"Hispanic","Female","M4zFaiv8ID",TRUE,0.4744,1
