"","user_age","clean_edu","user_frequency","user_genre","genre.match","rating.y","rec_gender","rec_race","clicked","race.simple.f","user_gender","user_id","in.group.lax","clean_user_genre","prediction.slow","rank.slow"
"1",36,"bachelors","Several times a week","Horror",0,9,"Female","White",1,"White","Male","06hjob46tP",TRUE,"HHO",0.114603269433758,1
"2",49,"more.than.bachelors","Several times a month","Historical",0,9,"Female","White",0,"White","Male","qEmzBoKzqc",TRUE,"HHO",0.140287811538516,2
"3",33,"bachelors","Several times a week","Other",0,9,"Male","White",1,"White","Male","lv91rsLd32",TRUE,"HHO",0.0951913613881749,8
"4",38,"bachelors","Several times a month","Science Fiction",1,9,"Male","White",0,"White","Male","YzNY9HjgmH",TRUE,"Science Fiction",0.23327511039704,1
"5",27,"more.than.bachelors","Several times a month","Comedy",0,9,"Male","White",0,"White","Male","Sf3XWLdgvq",TRUE,"Comedy",0.0977355607148614,28
"6",32,"less.than.bachelors","Several times a month","Other",0,9,"Female","White",0,"White","Male","Tpw7iBXRoA",TRUE,"HHO",0.107731442380758,7
"7",57,"less.than.bachelors","Every day","Science Fiction",1,9,"Female","White",1,"White","Male","0a3grATy8f",TRUE,"Science Fiction",0.17246603867264,3
"8",28,"bachelors","A few times a year","Science Fiction",1,9,"Male","Hispanic",1,"White","Male","rwBsPCkLmg",TRUE,"Science Fiction",0.19526479415735,1
"9",62,"more.than.bachelors","Every day","Action and adventure",1,9,"Female","White",0,"White","Male","u0R0Knj01c",TRUE,"Action and adventure",0.157625463530876,7
"10",38,"less.than.bachelors","Several times a week","Action and adventure",1,9,"Male","Hispanic",0,"White","Male","sFO2GK2SM1",TRUE,"Action and adventure",0.182132943108197,5
"11",43,"less.than.bachelors","Several times a week","Science Fiction",1,9,"Male","White",0,"White","Male","TQaqWOtfcq",TRUE,"Science Fiction",0.23833849893824,2
"12",72,"bachelors","A few times a year","Historical",0,9,"Female","Hispanic",0,"White","Male","7zhb4xSofw",FALSE,"HHO",0.105063097746333,15
"13",35,"less.than.bachelors","Several times a week","Comedy",0,9,"Male","White",1,"White","Male","dZpjiKXH7W",TRUE,"Comedy",0.0815233162716197,28
"14",34,"less.than.bachelors","Several times a month","Comedy",0,9,"Male","White",1,"White","Male","EWRxEgcSyy",TRUE,"Comedy",0.0920442267427312,23
"15",31,"less.than.bachelors","Several times a month","Science Fiction",1,9,"Male","White",1,"White","Male","ho1m4wH7Zy",TRUE,"Science Fiction",0.224707427247125,1
"16",36,"bachelors","Once a month","Action and adventure",1,9,"Male","White",0,"White","Male","QIGQj1XC32",TRUE,"Action and adventure",0.237127588351623,2
"17",38,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","Black",0,"White","Male","QJqFc0RBxV",TRUE,"Action and adventure",0.164282220715966,11
"18",35,"less.than.bachelors","Several times a month","Science Fiction",1,9,"Male","Black",0,"White","Male","qqiWGcmv58",TRUE,"Science Fiction",0.190117376994276,3
"19",24,"less.than.bachelors","Several times a week","Drama",0,9,"Male","Hispanic",0,"White","Male","z9YtZUWPRU",TRUE,"Drama",0.0880662301857128,36
"20",39,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",0,"White","Male","HbTAeXejqZ",TRUE,"Action and adventure",0.215798954443803,2
"21",74,"bachelors","Several times a week","Action and adventure",1,9,"Female","White",0,"White","Male","8C9rPnJg0x",TRUE,"Action and adventure",0.132038056741368,5
"22",22,"less.than.bachelors","Several times a month","Horror",0,9,"Female","Hispanic",0,"White","Male","YdCl8FacxX",FALSE,"HHO",0.104467192529379,17
"23",52,"less.than.bachelors","Every day","Science Fiction",1,9,"Male","White",1,"White","Male","k6Jg7jPESi",TRUE,"Science Fiction",0.173771722820317,2
"24",64,"more.than.bachelors","Never","Other",0,9,"Male","White",0,"White","Male","i9FSGyqAS2",TRUE,"HHO",0.110015139467712,16
"25",22,"less.than.bachelors","Several times a week","Comedy",0,9,"Male","White",0,"White","Male","rolBPHQjYL",TRUE,"Comedy",0.0968881525609861,16
"26",38,"bachelors","Several times a month","Action and adventure",1,9,"Female","Black",0,"White","Male","D2CPZukWN2",FALSE,"Action and adventure",0.200672897871455,1
"27",27,"bachelors","Several times a month","Action and adventure",1,9,"Male","Black",0,"White","Male","GOoY2Tt2Lb",TRUE,"Action and adventure",0.184607953022218,2
"28",22,"less.than.bachelors","Several times a month","Action and adventure",1,9,"Male","White",1,"White","Male","SnBDHfM0dh",TRUE,"Action and adventure",0.181504886632136,3
"29",30,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"White","Male","hsRZUatFaT",TRUE,"Comedy",0.092275036134486,24
"30",50,"less.than.bachelors","Several times a week","Science Fiction",1,9,"Male","White",1,"White","Male","srTvlyDN5n",TRUE,"Science Fiction",0.213373966886645,2
"31",39,"bachelors","Several times a month","Comedy",0,9,"Female","Black",0,"White","Male","mlgC5X64Oe",FALSE,"Comedy",0.111070680475051,16
"32",28,"bachelors","A few times a year","Historical",0,9,"Male","Black",0,"White","Male","qa9fzrgBH0",TRUE,"HHO",0.110812035139388,8
"33",46,"less.than.bachelors","Several times a month","Science Fiction",1,9,"Female","White",0,"White","Male","w38BlsVUNm",TRUE,"Science Fiction",0.170636363850759,4
"34",33,"bachelors","Several times a month","Drama",0,9,"Male","Hispanic",1,"White","Male","yIRY2oirLP",TRUE,"Drama",0.14380350519608,4
"35",63,"less.than.bachelors","Several times a week","Science Fiction",1,9,"Female","White",0,"White","Male","uLO1L4SRWy",TRUE,"Science Fiction",0.12982553351714,7
"36",20,"less.than.bachelors","A few times a year","Animation",0,9,"Female","White",0,"White","Male","Y3LxtvstvJ",TRUE,"Animation",0.0950026565743407,42
"37",35,"less.than.bachelors","A few times a year","Horror",0,9,"Male","Black",0,"White","Male","BoVbzHduFO",TRUE,"HHO",0.0846516433526897,27
"38",34,"bachelors","Every day","Science Fiction",1,9,"Female","Hispanic",1,"White","Male","oMlsSLCKBe",FALSE,"Science Fiction",0.180186255867391,5
"39",38,"bachelors","Several times a month","Science Fiction",1,9,"Male","Hispanic",1,"White","Male","j2pvEoYqY8",TRUE,"Science Fiction",0.224468731448104,2
"40",39,"more.than.bachelors","Once a month","Action and adventure",1,9,"Male","Hispanic",1,"White","Male","NNZRUgxCMd",TRUE,"Action and adventure",0.175483094251797,6
"41",34,"more.than.bachelors","Several times a week","Comedy",0,9,"Male","White",0,"White","Male","az6gsiYUjX",TRUE,"Comedy",0.0821377323998667,17
"42",66,"bachelors","Several times a week","Action and adventure",1,9,"Male","Hispanic",1,"White","Male","w3kGHzevLq",TRUE,"Action and adventure",0.239653037425626,1
"43",62,"less.than.bachelors","Several times a week","Other",0,9,"Female","White",0,"White","Male","cbRHsrg6Qa",TRUE,"HHO",0.102817988317413,23
"44",36,"bachelors","Several times a month","Comedy",0,9,"Male","White",0,"White","Male","q1s7RZn8mw",TRUE,"Comedy",0.0920845938360647,25
"45",30,"bachelors","Several times a week","Drama",0,9,"Male","Hispanic",0,"White","Male","YwVOAR9bfk",TRUE,"Drama",0.113981163842896,17
"46",33,"bachelors","Several times a month","Drama",0,9,"Male","White",1,"White","Male","7BOrbaDcyl",TRUE,"Drama",0.108249923345373,17
"47",24,"bachelors","Several times a week","Horror",0,9,"Male","Hispanic",1,"White","Male","xL2ElW1ouu",TRUE,"HHO",0.109607337791068,13
"48",42,"less.than.bachelors","Several times a month","Comedy",0,9,"Female","White",0,"White","Male","xSzPnQnwKj",TRUE,"Comedy",0.0795167616908959,36
