StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q11,Q10,subject_id
2020-03-09 17:34:39,2020-03-09 17:35:37,IP Address,171.64.233.147,100,57,True,2020-03-09 17:35:37,R_tLHo8VtDLGPwZON,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,"Yes, I consent to participate",,White,White,Female,35,Doctoral degree,,,,4607
2020-03-16 11:06:13,2020-03-16 11:07:16,IP Address,73.44.5.46,100,62,True,2020-03-16 11:07:16,R_2fATkbWsKZM9QLm,,,,,41.8018035888671875,-87.59929656982421875,anonymous,EN,"Yes, I consent to participate",,Other,test survey,Non-binary,80,Did not graduate high school,,,,6799
2020-04-06 15:01:24,2020-04-06 15:04:59,IP Address,38.124.35.11,100,214,True,2020-04-06 15:04:59,R_AagEmW77V55Jahz,,,,,41.8018035888671875,-87.59929656982421875,anonymous,EN,"Yes, I consent to participate",,Other,test,Female,20,Master's degree,,,,9834
2020-04-12 13:15:15,2020-04-12 13:31:07,IP Address,76.16.126.61,100,952,True,2020-04-12 13:31:07,R_r2XWWcBsoY4cALv,,,,,41.871002197265625,-87.62889862060546875,anonymous,EN,"Yes, I consent to participate",,White,test,Male,79,"Some college, no degree",,,,7653
2020-04-14 09:22:01,2020-04-14 09:25:27,Survey Preview,,100,205,True,2020-04-14 09:25:27,R_2WD1jKhnD5GB1A8,,,,,41.761993408203125,-87.5702972412109375,preview,EN,"Yes, I consent to participate",cdr,"Black or African American,American Indian or Alaska Native",Black,Female,23,Doctoral degree,,,,8610
2020-04-14 12:37:04,2020-04-14 12:39:47,IP Address,24.14.185.245,100,162,True,2020-04-14 12:39:48,R_1kFDvfgjCSC6qaB,,,,,41.8639984130859375,-88.06710052490234375,anonymous,EN,"Yes, I consent to participate",CDR,Asian,Second Generation Asian-American,Male,19,"Some college, no degree",A few times an hour,,Within the past hour,9190
2020-04-14 14:04:09,2020-04-14 14:08:24,IP Address,205.208.121.178,100,254,True,2020-04-14 14:08:24,R_3fGA2t7tTAXhLCS,,,,,41.8018035888671875,-87.59929656982421875,anonymous,EN,"Yes, I consent to participate",cdr,White,I don't really consider these very much. I don't know why the forms often ask for this.,Male,32,Doctoral degree,Never,,,8575
2020-04-15 11:01:47,2020-04-15 11:04:30,IP Address,67.167.61.139,100,163,True,2020-04-15 11:04:31,R_1o70s7LrCy7BlIH,,,,,41.8782958984375,-87.69069671630859375,anonymous,EN,"Yes, I consent to participate",cdr,Asian,Indian,Male,26,Master's degree,A few times a day,,Within the past hour,1423
2020-04-16 09:35:46,2020-04-16 09:39:26,IP Address,172.0.136.191,100,220,True,2020-04-16 09:39:27,R_3J7Y099Gk9XvCz1,,,,,42.0095977783203125,-87.69280242919921875,anonymous,EN,"Yes, I consent to participate",cdr,White,"I usually choose white as that is my race...but when I think of ethnicity/culture, I identify as a reform Jew, while at the same time fully recognizing that I am white, as perceived by others even if within I may feel culturally different.",Female,43,Master's degree,A few times a day,,Within the past day,2940
2020-04-16 11:07:42,2020-04-16 11:09:43,IP Address,173.0.77.17,100,121,True,2020-04-16 11:09:43,R_1itlEEtOl4sbyMx,,,,,41.848602294921875,-87.6287994384765625,anonymous,EN,"Yes, I consent to participate",cdr,Hispanic,Hispanic,Male,35,Bachelor's degree,A few times a day,,Within the past hour,4441
